usr;condition;sentence;f/s;duration;amplitude;num_f_s;duration_first_f_s;duration_last_f_s;amp_first_s;amp_last_s;num_reg;num_prog
024;vs;1;f;150.40000000000001;0;10;150.40000000000001;133.30000000000001;0;0;0;0
024;vs;1;f;182.30000000000001;0;10;150.40000000000001;133.30000000000001;0;0;0;0
024;vs;1;f;115.7;0;10;150.40000000000001;133.30000000000001;0;0;0;0
024;vs;1;f;165.80000000000001;0;10;150.40000000000001;133.30000000000001;0;0;0;0
024;vs;1;f;133.69999999999999;0;10;150.40000000000001;133.30000000000001;0;0;0;0
024;vs;1;f;82.099999999999994;0;10;150.40000000000001;133.30000000000001;0;0;0;0
024;vs;1;f;232.80000000000001;0;10;150.40000000000001;133.30000000000001;0;0;0;0
024;vs;1;f;198.59999999999999;0;10;150.40000000000001;133.30000000000001;0;0;0;0
024;vs;1;f;148.09999999999999;0;10;150.40000000000001;133.30000000000001;0;0;0;0
024;vs;1;f;133.30000000000001;0;10;150.40000000000001;133.30000000000001;0;0;0;0
024;vs;1;s;50.6;-2.279;12;50.6;100.7;-2.279;1.205;2;10
024;vs;1;s;66.5;4.865;12;50.6;100.7;-2.279;1.205;2;10
024;vs;1;s;100.5;2.621;12;50.6;100.7;-2.279;1.205;2;10
024;vs;1;s;199.5;4.525;12;50.6;100.7;-2.279;1.205;2;10
024;vs;1;s;49.3;1.104;12;50.6;100.7;-2.279;1.205;2;10
024;vs;1;s;50.9;6.478;12;50.6;100.7;-2.279;1.205;2;10
024;vs;1;s;49.8;1.702;12;50.6;100.7;-2.279;1.205;2;10
024;vs;1;s;133.6;8.177;12;50.6;100.7;-2.279;1.205;2;10
024;vs;1;s;50.7;1.153;12;50.6;100.7;-2.279;1.205;2;10
024;vs;1;s;50.8;3.355;12;50.6;100.7;-2.279;1.205;2;10
024;vs;1;s;100.2;-20.019;12;50.6;100.7;-2.279;1.205;2;10
024;vs;1;s;100.7;1.205;12;50.6;100.7;-2.279;1.205;2;10
024;vs;2;f;216.69999999999999;0;12;216.69999999999999;83.200000000000003;0;0;0;0
024;vs;2;f;82.0;0;12;216.69999999999999;83.200000000000003;0;0;0;0
024;vs;2;f;166.69999999999999;0;12;216.69999999999999;83.200000000000003;0;0;0;0
024;vs;2;f;133.0;0;12;216.69999999999999;83.200000000000003;0;0;0;0
024;vs;2;f;115.7;0;12;216.69999999999999;83.200000000000003;0;0;0;0
024;vs;2;f;184.19999999999999;0;12;216.69999999999999;83.200000000000003;0;0;0;0
024;vs;2;f;82.400000000000006;0;12;216.69999999999999;83.200000000000003;0;0;0;0
024;vs;2;f;184.30000000000001;0;12;216.69999999999999;83.200000000000003;0;0;0;0
024;vs;2;f;83.900000000000006;0;12;216.69999999999999;83.200000000000003;0;0;0;0
024;vs;2;f;132.40000000000001;0;12;216.69999999999999;83.200000000000003;0;0;0;0
024;vs;2;f;300.10000000000002;0;12;216.69999999999999;83.200000000000003;0;0;0;0
024;vs;2;f;83.200000000000003;0;12;216.69999999999999;83.200000000000003;0;0;0;0
024;vs;2;s;51.4;-0.271;22;51.4;50.8;-0.271;4.042;5;17
024;vs;2;s;66.2;1.301;22;51.4;50.8;-0.271;4.042;5;17
024;vs;2;s;117.5;-2.742;22;51.4;50.8;-0.271;4.042;5;17
024;vs;2;s;50.8;1.042;22;51.4;50.8;-0.271;4.042;5;17
024;vs;2;s;151.9;-0.742;22;51.4;50.8;-0.271;4.042;5;17
024;vs;2;s;50.5;1.851;22;51.4;50.8;-0.271;4.042;5;17
024;vs;2;s;84.2;6.699;22;51.4;50.8;-0.271;4.042;5;17
024;vs;2;s;50.9;2.287;22;51.4;50.8;-0.271;4.042;5;17
024;vs;2;s;66.6;4.065;22;51.4;50.8;-0.271;4.042;5;17
024;vs;2;s;49.0;1.547;22;51.4;50.8;-0.271;4.042;5;17
024;vs;2;s;82.7;2.451;22;51.4;50.8;-0.271;4.042;5;17
024;vs;2;s;50.7;3.178;22;51.4;50.8;-0.271;4.042;5;17
024;vs;2;s;66.5;3.896;22;51.4;50.8;-0.271;4.042;5;17
024;vs;2;s;50.9;0.78;22;51.4;50.8;-0.271;4.042;5;17
024;vs;2;s;49.0;1.27;22;51.4;50.8;-0.271;4.042;5;17
024;vs;2;s;49.1;1.533;22;51.4;50.8;-0.271;4.042;5;17
024;vs;2;s;82.3;4.218;22;51.4;50.8;-0.271;4.042;5;17
024;vs;2;s;84.5;2.494;22;51.4;50.8;-0.271;4.042;5;17
024;vs;2;s;82.5;4.599;22;51.4;50.8;-0.271;4.042;5;17
024;vs;2;s;84.8;-25.921;22;51.4;50.8;-0.271;4.042;5;17
024;vs;2;s;50.9;-0.643;22;51.4;50.8;-0.271;4.042;5;17
024;vs;2;s;50.8;4.042;22;51.4;50.8;-0.271;4.042;5;17
024;vs;3;f;99.599999999999994;0;11;99.599999999999994;233.0;0;0;0;0
024;vs;3;f;98.599999999999994;0;11;99.599999999999994;233.0;0;0;0;0
024;vs;3;f;148.69999999999999;0;11;99.599999999999994;233.0;0;0;0;0
024;vs;3;f;165.5;0;11;99.599999999999994;233.0;0;0;0;0
024;vs;3;f;267.60000000000002;0;11;99.599999999999994;233.0;0;0;0;0
024;vs;3;f;182.69999999999999;0;11;99.599999999999994;233.0;0;0;0;0
024;vs;3;f;99.700000000000003;0;11;99.599999999999994;233.0;0;0;0;0
