usr;condition;sentence;f/s;duration;amplitude
014;va;1;f;166.7;0
014;va;1;f;117.3;0
014;va;1;f;99.2;0
014;va;1;f;150.4;0
014;va;1;f;83.8;0
014;va;1;f;114.8;0
014;va;1;f;133.9;0
014;va;1;f;199.8;0
014;va;1;f;116.8;0
014;va;1;f;199.4;0
014;va;1;f;116.1;0
014;va;1;f;282.4;0
014;va;1;f;82.2;0
014;va;1;f;100.3;0
014;va;1;s;49.7;-0.977
014;va;1;s;82.5;-2.236
014;va;1;s;49.6;0.271
014;va;1;s;50.0;0.946
014;va;1;s;66.3;1.36
014;va;1;s;49.9;1.332
014;va;1;s;250.4;-0.994
014;va;1;s;49.5;1.55
014;va;1;s;49.4;0.564
014;va;1;s;66.5;1.264
014;va;1;s;50.3;1.198
014;va;1;s;49.1;-0.553
014;va;1;s;51.4;5.147
014;va;1;s;66.9;1.407
014;va;1;s;66.6;1.404
014;va;1;s;50.5;1.591
014;va;1;s;66.7;1.402
014;va;1;s;117.0;4.515
014;va;1;s;100.3;-12.68
014;va;1;s;66.8;-1.168
014;va;1;s;66.6;2.168
014;va;2;f;300.0;0
014;va;2;f;83.7;0
014;va;2;f;416.9;0
014;va;2;f;148.8;0
014;va;2;f;150.6;0
014;va;2;f;215.7;0
014;va;2;f;99.9;0
014;va;2;f;149.5;0
014;va;2;f;116.8;0
014;va;2;f;166.3;0
014;va;2;f;166.4;0
014;va;2;f;300.0;0
014;va;2;s;66.7;1.63
014;va;2;s;117.1;3.155
014;va;2;s;50.5;0.567
014;va;2;s;133.6;5.034
014;va;2;s;49.8;-1.191
014;va;2;s;66.2;1.635
014;va;2;s;49.9;0.37
014;va;2;s;116.2;2.826
014;va;2;s;82.8;2.205
014;va;2;s;67.1;2.614
014;va;2;s;50.1;-1.005
014;va;2;s;50.0;-0.556
014;va;2;s;116.4;-7.316
014;va;2;s;50.4;-0.985
014;va;2;s;49.7;-0.409
014;va;2;s;49.3;0.377
014;va;4;f;182.6;0
014;va;4;f;250.5;0
014;va;4;f;83.0;0
014;va;4;f;183.2;0
014;va;4;f;100.0;0
014;va;4;f;116.1;0
014;va;4;f;234.0;0
014;va;4;f;366.6;0
014;va;4;f;182.3;0
014;va;4;f;233.1;0
014;va;4;f;99.4;0
014;va;4;f;133.1;0
014;va;4;f;149.7;0
014;va;4;f;165.3;0
014;va;4;s;50.9;0.967
014;va;4;s;50.6;1.504
014;va;4;s;66.7;-2.769
014;va;4;s;199.9;4.421
014;va;4;s;66.4;-0.373
014;va;4;s;66.2;-1.882
014;va;4;s;117.2;3.665
014;va;4;s;83.4;2.052
014;va;4;s;66.4;2.446
014;va;4;s;50.1;0.246
014;va;4;s;99.8;4.002
014;va;4;s;99.7;4.646
014;va;4;s;66.4;0.876
014;va;4;s;82.8;2.731
014;va;4;s;167.1;-15.842
014;va;4;s;99.9;6.202
014;va;4;s;50.6;-1.701
014;va;5;f;116.1;0
014;va;5;f;349.9;0
014;va;5;f;149.0;0
014;va;5;f;149.7;0
014;va;5;f;115.4;0
014;va;5;f;282.3;0
014;va;5;f;150.0;0
014;va;5;f;200.1;0
014;va;5;f;133.5;0
014;va;5;f;266.7;0
014;va;5;f;182.3;0
014;va;5;f;333.3;0
014;va;5;f;83.0;0
014;va;5;f;166.3;0
014;va;5;f;300.0;0
014;va;5;f;100.1;0
014;va;5;f;100.2;0
014;va;5;s;49.8;-0.554
014;va;5;s;50.3;-0.603
014;va;5;s;99.9;2.912
014;va;5;s;100.1;3.195
014;va;5;s;99.8;2.164
014;va;5;s;50.8;0.424
014;va;5;s;50.7;0.947
014;va;5;s;50.3;3.33
014;va;5;s;82.9;1.889
014;va;5;s;99.8;4.745
014;va;5;s;50.3;0.511
014;va;5;s;50.6;-1.035
014;va;5;s;50.0;1.114
014;va;5;s;133.9;-4.664
014;va;5;s;133.2;-15.119
014;va;5;s;49.4;-1.022
014;va;6;f;266.6;0
014;va;6;f;82.7;0
014;va;6;f;482.3;0
014;va;6;f;182.5;0
014;va;6;f;150.1;0
014;va;6;f;83.6;0
014;va;6;f;282.7;0
014;va;6;f;133.3;0
014;va;6;f;282.6;0
014;va;6;f;83.6;0
014;va;6;f;215.5;0
014;va;6;f;99.9;0
014;va;6;f;100.1;0
014;va;6;f;166.4;0
014;va;6;f;133.2;0
014;va;6;f;150.7;0
014;va;6;f;182.5;0
014;va;6;f;166.5;0
014;va;6;f;116.4;0
014;va;6;s;66.5;-1.223
014;va;6;s;116.9;-4.357
014;va;6;s;50.4;-0.785
014;va;6;s;150.5;-0.552
014;va;6;s;82.4;0.875
014;va;6;s;50.3;1.085
014;va;6;s;50.7;2.375
014;va;6;s;116.3;5.52
014;va;6;s;67.3;1.462
014;va;6;s;49.2;0.568
014;va;6;s;66.3;-0.915
014;va;6;s;100.0;3.513
014;va;6;s;50.7;-0.623
014;va;6;s;66.6;2.393
014;va;6;s;50.4;1.233
014;va;6;s;116.0;3.396
014;va;6;s;133.4;3.317
014;va;6;s;49.2;0.705
014;va;6;s;50.3;-7.048
014;va;6;s;84.3;-1.533
014;va;6;s;133.5;-3.914
014;va;6;s;67.0;3.37
014;va;6;s;184.6;-0.584
014;va;6;s;66.2;2.132
014;va;6;s;49.9;-1.421
014;va;6;s;83.8;-1.442
014;va;6;s;82.8;1.741
014;va;7;f;115.8;0
014;va;7;f;149.8;0
014;va;7;f;82.0;0
014;va;7;f;217.4;0
014;va;7;f;232.6;0
014;va;7;f;266.2;0
014;va;7;f;100.0;0
014;va;7;f;150.5;0
014;va;7;f;232.9;0
014;va;7;f;249.5;0
014;va;7;f;99.5;0
014;va;7;f;148.8;0
014;va;7;f;98.5;0
014;va;7;f;166.4;0
014;va;7;s;99.9;5.218
014;va;7;s;84.5;-1.684
014;va;7;s;51.1;-1.05
014;va;7;s;49.0;2.605
014;va;7;s;83.4;4.875
014;va;7;s;50.6;1.025
014;va;7;s;50.2;1.252
014;va;7;s;66.3;2.491
014;va;7;s;116.5;5.025
014;va;7;s;66.8;1.823
014;va;7;s;66.9;-15.062
014;va;7;s;49.3;-1.061
014;va;7;s;66.4;-0.97
014;va;7;s;116.2;5.505
014;va;7;s;50.7;-1.836
014;va;7;s;218.8;4.075
014;va;7;s;233.0;-5.126
014;va;8;f;282.4;0
014;va;8;f;99.9;0
014;va;8;f;133.3;0
014;va;8;f;132.9;0
014;va;8;f;83.8;0
014;va;8;f;82.9;0
014;va;8;f;215.9;0
