usr;condition;sentence;f/s;duration;amplitude
021;vs;1;f;333.5;0
021;vs;1;f;99.9;0
021;vs;1;f;133.0;0
021;vs;1;f;582.8;0
021;vs;1;f;166.7;0
021;vs;1;f;100.0;0
021;vs;1;f;133.3;0
021;vs;1;f;166.7;0
021;vs;1;f;349.3;0
021;vs;1;f;316.0;0
021;vs;1;f;182.6;0
021;vs;1;f;182.8;0
021;vs;1;f;100.4;0
021;vs;1;f;182.6;0
021;vs;1;f;83.6;0
021;vs;1;f;516.2;0
021;vs;1;f;82.1;0
021;vs;1;f;366.1;0
021;vs;1;f;266.5;0
021;vs;1;s;66.6;-3.714
021;vs;1;s;117.0;-5.82
021;vs;1;s;50.3;-0.652
021;vs;1;s;66.7;2.278
021;vs;1;s;66.5;3.337
021;vs;1;s;50.3;0.576
021;vs;1;s;50.1;1.13
021;vs;1;s;49.7;0.656
021;vs;1;s;66.6;1.028
021;vs;1;s;50.3;3.186
021;vs;1;s;49.9;3.735
021;vs;1;s;49.3;1.481
021;vs;1;s;116.1;1.899
021;vs;1;s;133.1;2.937
021;vs;1;s;49.1;-4.493
021;vs;1;s;67.2;-4.096
021;vs;1;s;66.7;-1.426
021;vs;1;s;49.3;0.381
021;vs;1;s;50.0;0.827
021;vs;1;s;50.3;0.616
021;vs;1;s;284.0;-0.947
021;vs;1;s;49.5;0.553
021;vs;2;f;349.7;0
021;vs;2;f;566.1;0
021;vs;2;f;183.6;0
021;vs;2;f;133.4;0
021;vs;2;f;83.7;0
021;vs;2;f;216.3;0
021;vs;2;f;184.1;0
021;vs;2;f;100.0;0
021;vs;2;f;83.0;0
021;vs;2;f;116.7;0
021;vs;2;f;166.6;0
021;vs;2;f;182.9;0
021;vs;2;f;166.8;0
021;vs;2;f;165.7;0
021;vs;2;f;99.8;0
021;vs;2;f;465.9;0
021;vs;2;f;149.2;0
021;vs;2;f;382.8;0
021;vs;2;s;117.0;-10.609
021;vs;2;s;84.0;-3.452
021;vs;2;s;50.3;1.271
021;vs;2;s;49.5;1.888
021;vs;2;s;67.0;1.559
