usr;condition;sentence;f/s;duration;amplitude
017;vs;1;f;117.3;0
017;vs;1;f;82.7;0
017;vs;1;f;215.8;0
017;vs;1;f;166.4;0
017;vs;1;f;116.0;0
017;vs;1;f;81.6;0
017;vs;1;f;200.1;0
017;vs;1;f;83.8;0
017;vs;1;f;181.3;0
017;vs;1;f;117.3;0
017;vs;1;f;215.7;0
017;vs;1;f;117.3;0
017;vs;1;f;165.8;0
017;vs;1;f;133.5;0
017;vs;1;f;115.3;0
017;vs;1;f;132.7;0
017;vs;1;f;117.5;0
017;vs;1;f;514.3;0
017;vs;1;f;149.4;0
017;vs;1;f;149.1;0
017;vs;1;f;99.2;0
017;vs;1;f;133.2;0
017;vs;1;f;84.0;0
017;vs;1;f;100.0;0
017;vs;1;f;166.5;0
017;vs;1;f;133.8;0
017;vs;1;f;199.9;0
017;vs;1;f;99.9;0
017;vs;1;f;233.1;0
017;vs;1;s;134.5;-7.783
017;vs;1;s;49.3;2.341
017;vs;1;s;49.2;2.222
017;vs;1;s;66.4;-1.02
017;vs;1;s;116.6;6.421
017;vs;1;s;100.1;3.561
017;vs;1;s;100.0;2.421
017;vs;1;s;133.0;3.985
017;vs;1;s;66.8;1.866
017;vs;1;s;50.5;0.596
017;vs;1;s;66.3;0.948
017;vs;1;s;133.6;-17.878
017;vs;1;s;133.1;6.129
017;vs;1;s;49.7;-0.784
017;vs;1;s;99.7;2.599
017;vs;1;s;150.8;-9.413
017;vs;1;s;134.2;8.844
017;vs;1;s;83.5;1.9
017;vs;1;s;118.0;-10.147
017;vs;1;s;117.7;-7.49
017;vs;1;s;66.9;1.617
017;vs;1;s;49.1;0.703
017;vs;1;s;134.5;5.097
017;vs;1;s;50.3;-1.122
017;vs;1;s;66.6;-2.074
017;vs;1;s;66.8;-3.287
017;vs;1;s;134.1;5.623
017;vs;1;s;133.3;8.236
017;vs;1;s;84.2;1.971
017;vs;1;s;66.4;-5.315
017;vs;1;s;99.9;3.281
017;vs;1;s;99.4;-3.944
017;vs;1;s;117.2;-3.641
017;vs;1;s;116.9;7.729
017;vs;2;f;133.1;0
017;vs;2;f;133.1;0
017;vs;2;f;216.8;0
017;vs;2;f;100.2;0
017;vs;2;f;214.4;0
017;vs;2;f;115.9;0
017;vs;2;f;150.3;0
017;vs;2;f;133.3;0
017;vs;2;f;98.8;0
017;vs;2;f;183.9;0
017;vs;2;f;149.7;0
017;vs;2;f;131.7;0
017;vs;2;f;184.0;0
017;vs;2;f;133.5;0
017;vs;2;f;549.2;0
017;vs;2;f;132.4;0
017;vs;2;f;166.8;0
017;vs;2;f;182.2;0
017;vs;2;f;166.7;0
017;vs;2;f;265.9;0
017;vs;2;f;199.2;0
017;vs;2;f;100.0;0
017;vs;2;f;132.2;0
017;vs;2;f;99.9;0
017;vs;2;f;215.8;0
017;vs;2;f;117.1;0
017;vs;2;f;99.6;0
017;vs;2;f;181.6;0
017;vs;2;s;100.0;-3.711
017;vs;2;s;117.4;5.127
017;vs;2;s;66.4;-1.242
017;vs;2;s;116.3;7.585
017;vs;2;s;66.3;-1.807
017;vs;2;s;67.5;3.062
017;vs;2;s;48.4;0.704
017;vs;2;s;49.6;0.85
017;vs;2;s;49.2;1.062
017;vs;2;s;84.1;2.182
017;vs;2;s;49.3;1.687
017;vs;2;s;49.2;-1.572
017;vs;2;s;150.8;-10.592
017;vs;2;s;50.6;0.615
017;vs;2;s;82.6;-1.968
017;vs;2;s;134.6;-7.774
017;vs;2;s;84.1;6.657
017;vs;2;s;50.3;0.539
017;vs;2;s;133.3;4.306
017;vs;2;s;134.3;-6.344
017;vs;2;s;134.1;4.544
017;vs;2;s;49.7;-2.431
017;vs;2;s;117.9;3.242
017;vs;2;s;66.6;1.311
