usr;condition;sentence;f/s;duration;amplitude
014;vs;1;f;299.5;0
014;vs;1;f;150.2;0
014;vs;1;f;83.0;0
014;vs;1;f;99.8;0
014;vs;1;f;200.2;0
014;vs;1;f;99.6;0
014;vs;1;f;99.9;0
014;vs;1;f;83.0;0
014;vs;1;f;100.0;0
014;vs;1;f;148.9;0
014;vs;1;f;83.5;0
014;vs;1;f;83.6;0
014;vs;1;f;132.9;0
014;vs;1;f;199.4;0
014;vs;1;f;149.5;0
014;vs;1;f;99.9;0
014;vs;1;f;132.7;0
014;vs;1;f;116.4;0
014;vs;1;s;150.5;-9.558
014;vs;1;s;66.8;3.687
014;vs;1;s;66.7;2.069
014;vs;1;s;50.6;0.859
014;vs;1;s;100.0;-4.203
014;vs;1;s;133.7;7.281
014;vs;1;s;66.7;1.881
014;vs;1;s;99.7;-2.618
014;vs;1;s;134.5;5.83
014;vs;1;s;133.5;3.754
014;vs;1;s;49.8;1.378
014;vs;1;s;49.1;0.979
014;vs;1;s;66.1;0.946
014;vs;1;s;116.1;2.811
014;vs;1;s;150.7;-15.596
014;vs;1;s;66.7;-1.624
014;vs;1;s;133.2;5.916
014;vs;1;s;50.2;0.529
014;vs;1;s;100.5;-2.987
014;vs;1;s;166.6;-13.166
014;vs;1;s;83.5;4.733
014;vs;1;s;116.5;4.281
014;vs;1;s;83.8;3.354
014;vs;1;s;50.3;1.967
014;vs;1;s;49.7;0.404
014;vs;1;s;116.7;-5.968
014;vs;2;f;366.1;0
014;vs;2;f;117.0;0
014;vs;2;f;82.9;0
014;vs;2;f;133.8;0
014;vs;2;f;83.9;0
014;vs;2;f;165.3;0
014;vs;2;f;82.8;0
014;vs;2;f;99.6;0
014;vs;2;f;148.8;0
014;vs;2;f;149.3;0
014;vs;2;f;83.6;0
014;vs;2;f;133.3;0
014;vs;2;f;149.7;0
014;vs;2;f;83.1;0
014;vs;2;f;149.5;0
014;vs;2;f;500.3;0
014;vs;2;s;117.7;-8.878
014;vs;2;s;50.2;-1.501
014;vs;2;s;133.8;4.42
014;vs;2;s;66.8;2.131
014;vs;2;s;66.6;2.53
014;vs;2;s;50.2;0.515
014;vs;2;s;99.8;-4.027
014;vs;2;s;116.7;6.004
014;vs;2;s;66.7;1.346
014;vs;2;s;50.4;0.386
014;vs;2;s;66.8;2.764
014;vs;2;s;134.2;5.41
014;vs;2;s;115.9;4.831
014;vs;2;s;50.3;1.068
014;vs;2;s;133.9;-12.413
014;vs;2;s;66.6;-5.041
014;vs;2;s;49.7;-0.23
014;vs;2;s;66.5;1.896
014;vs;2;s;49.5;0.923
014;vs;2;s;50.2;0.482
014;vs;2;s;50.1;2.244
014;vs;3;f;183.1;0
014;vs;3;f;133.0;0
014;vs;3;f;132.9;0
014;vs;3;f;266.2;0
014;vs;3;f;149.5;0
014;vs;3;f;150.5;0
