usr;condition;sentence;f/s;duration;amplitude;num_f_s;duration_first_f_s;duration_last_f_s
022;va;1;f;133.30000000000001;0;20;133.30000000000001;382.80000000000001
022;va;1;f;116.7;0;20;133.30000000000001;382.80000000000001
022;va;1;f;132.5;0;20;133.30000000000001;382.80000000000001
022;va;1;f;83.299999999999997;0;20;133.30000000000001;382.80000000000001
022;va;1;f;100.09999999999999;0;20;133.30000000000001;382.80000000000001
022;va;1;f;366.19999999999999;0;20;133.30000000000001;382.80000000000001
022;va;1;f;182.5;0;20;133.30000000000001;382.80000000000001
022;va;1;f;117.0;0;20;133.30000000000001;382.80000000000001
022;va;1;f;150.09999999999999;0;20;133.30000000000001;382.80000000000001
022;va;1;f;166.19999999999999;0;20;133.30000000000001;382.80000000000001
022;va;1;f;99.900000000000006;0;20;133.30000000000001;382.80000000000001
022;va;1;f;116.5;0;20;133.30000000000001;382.80000000000001
022;va;1;f;132.90000000000001;0;20;133.30000000000001;382.80000000000001
022;va;1;f;183.90000000000001;0;20;133.30000000000001;382.80000000000001
022;va;1;f;348.60000000000002;0;20;133.30000000000001;382.80000000000001
022;va;1;f;166.19999999999999;0;20;133.30000000000001;382.80000000000001
022;va;1;f;100.0;0;20;133.30000000000001;382.80000000000001
022;va;1;f;200.19999999999999;0;20;133.30000000000001;382.80000000000001
022;va;1;f;97.700000000000003;0;20;133.30000000000001;382.80000000000001
022;va;1;f;382.80000000000001;0;20;133.30000000000001;382.80000000000001
022;va;1;s;66.1;4.076;23;66.1;149.0
022;va;1;s;49.7;0.849;23;66.1;149.0
022;va;1;s;50.5;-2.95;23;66.1;149.0
022;va;1;s;133.2;6.517;23;66.1;149.0
022;va;1;s;149.7;7.123;23;66.1;149.0
022;va;1;s;49.9;-1.268;23;66.1;149.0
022;va;1;s;49.9;6.621;23;66.1;149.0
022;va;1;s;50.5;-3.001;23;66.1;149.0
022;va;1;s;50.3;-0.359;23;66.1;149.0
022;va;1;s;100.3;4.327;23;66.1;149.0
022;va;1;s;183.3;10.946;23;66.1;149.0
022;va;1;s;66.7;3.419;23;66.1;149.0
022;va;1;s;50.1;6.018;23;66.1;149.0
022;va;1;s;83.5;-29.123;23;66.1;149.0
022;va;1;s;49.2;7.046;23;66.1;149.0
022;va;1;s;49.4;-0.813;23;66.1;149.0
022;va;1;s;83.4;5.341;23;66.1;149.0
022;va;1;s;66.7;-5.986;23;66.1;149.0
022;va;1;s;66.5;4.716;23;66.1;149.0
022;va;1;s;50.5;-3.072;23;66.1;149.0
022;va;1;s;150.0;-18.385;23;66.1;149.0
022;va;1;s;116.5;14.554;23;66.1;149.0
022;va;1;s;149.0;8.695;23;66.1;149.0
022;va;2;f;182.69999999999999;0;17;182.69999999999999;249.59999999999999
022;va;2;f;82.5;0;17;182.69999999999999;249.59999999999999
022;va;2;f;217.09999999999999;0;17;182.69999999999999;249.59999999999999
022;va;2;f;99.700000000000003;0;17;182.69999999999999;249.59999999999999
022;va;2;f;133.0;0;17;182.69999999999999;249.59999999999999
022;va;2;f;199.69999999999999;0;17;182.69999999999999;249.59999999999999
022;va;2;f;382.80000000000001;0;17;182.69999999999999;249.59999999999999
022;va;2;f;100.2;0;17;182.69999999999999;249.59999999999999
022;va;2;f;233.19999999999999;0;17;182.69999999999999;249.59999999999999
022;va;2;f;333.30000000000001;0;17;182.69999999999999;249.59999999999999
022;va;2;f;165.40000000000001;0;17;182.69999999999999;249.59999999999999
022;va;2;f;99.900000000000006;0;17;182.69999999999999;249.59999999999999
022;va;2;f;133.40000000000001;0;17;182.69999999999999;249.59999999999999
022;va;2;f;182.40000000000001;0;17;182.69999999999999;249.59999999999999
022;va;2;f;649.0;0;17;182.69999999999999;249.59999999999999
022;va;2;f;166.80000000000001;0;17;182.69999999999999;249.59999999999999
022;va;2;f;249.59999999999999;0;17;182.69999999999999;249.59999999999999
022;va;2;s;100.1;-11.555;27;100.1;116.5
022;va;2;s;150.6;-20.452;27;100.1;116.5
022;va;2;s;66.6;-2.523;27;100.1;116.5
022;va;2;s;84.0;2.941;27;100.1;116.5
022;va;2;s;50.7;2.59;27;100.1;116.5
022;va;2;s;66.8;4.732;27;100.1;116.5
022;va;2;s;66.1;-2.061;27;100.1;116.5
022;va;2;s;49.3;-0.628;27;100.1;116.5
022;va;2;s;82.5;5.312;27;100.1;116.5
022;va;2;s;66.8;5.671;27;100.1;116.5
022;va;2;s;49.0;5.515;27;100.1;116.5
022;va;2;s;50.9;-1.229;27;100.1;116.5
022;va;2;s;115.9;9.984;27;100.1;116.5
022;va;2;s;117.2;-24.871;27;100.1;116.5
022;va;2;s;66.8;-3.416;27;100.1;116.5
022;va;2;s;50.5;-0.692;27;100.1;116.5
022;va;2;s;83.0;5.613;27;100.1;116.5
022;va;2;s;49.2;7.405;27;100.1;116.5
022;va;2;s;82.6;5.008;27;100.1;116.5
022;va;2;s;50.3;2.539;27;100.1;116.5
022;va;2;s;49.8;1.154;27;100.1;116.5
022;va;2;s;50.2;1.853;27;100.1;116.5
022;va;2;s;50.5;0.866;27;100.1;116.5
022;va;2;s;100.3;-22.169;27;100.1;116.5
022;va;2;s;66.8;-5.835;27;100.1;116.5
022;va;2;s;50.6;-1.254;27;100.1;116.5
022;va;2;s;116.5;8.942;27;100.1;116.5
022;va;3;f;299.80000000000001;0;22;299.80000000000001;366.89999999999998
022;va;3;f;215.90000000000001;0;22;299.80000000000001;366.89999999999998
022;va;3;f;117.5;0;22;299.80000000000001;366.89999999999998
022;va;3;f;166.30000000000001;0;22;299.80000000000001;366.89999999999998
022;va;3;f;133.40000000000001;0;22;299.80000000000001;366.89999999999998
022;va;3;f;83.599999999999994;0;22;299.80000000000001;366.89999999999998
022;va;3;f;199.69999999999999;0;22;299.80000000000001;366.89999999999998
022;va;3;f;133.09999999999999;0;22;299.80000000000001;366.89999999999998
022;va;3;f;83.099999999999994;0;22;299.80000000000001;366.89999999999998
022;va;3;f;133.19999999999999;0;22;299.80000000000001;366.89999999999998
022;va;3;f;116.09999999999999;0;22;299.80000000000001;366.89999999999998
022;va;3;f;166.80000000000001;0;22;299.80000000000001;366.89999999999998
022;va;3;f;233.19999999999999;0;22;299.80000000000001;366.89999999999998
022;va;3;f;167.19999999999999;0;22;299.80000000000001;366.89999999999998
022;va;3;f;216.30000000000001;0;22;299.80000000000001;366.89999999999998
022;va;3;f;117.2;0;22;299.80000000000001;366.89999999999998
022;va;3;f;232.90000000000001;0;22;299.80000000000001;366.89999999999998
022;va;3;f;350.5;0;22;299.80000000000001;366.89999999999998
022;va;3;f;217.80000000000001;0;22;299.80000000000001;366.89999999999998
