usr;condition;sentence;f/s;duration;amplitude;num_f_s;duration_first_f_s;duration_last_f_s
004;va;4;f;299.60000000000002;0;13;315.80000000000001;167.19999999999999
004;va;4;f;117.40000000000001;0;13;315.80000000000001;167.19999999999999
004;va;4;f;149.09999999999999;0;13;315.80000000000001;167.19999999999999
004;va;4;f;116.8;0;13;315.80000000000001;167.19999999999999
004;va;4;f;166.40000000000001;0;13;315.80000000000001;167.19999999999999
004;va;4;f;116.09999999999999;0;13;315.80000000000001;167.19999999999999
004;va;4;f;99.799999999999997;0;13;315.80000000000001;167.19999999999999
004;va;4;f;233.19999999999999;0;13;315.80000000000001;167.19999999999999
004;va;4;f;167.19999999999999;0;13;315.80000000000001;167.19999999999999
004;va;4;s;133.3;-12.548;14;133.3;65.9
004;va;4;s;51.0;-1.72;14;133.3;65.9
004;va;4;s;115.8;5.291;14;133.3;65.9
004;va;4;s;83.9;5.141;14;133.3;65.9
004;va;4;s;66.7;6.005;14;133.3;65.9
004;va;4;s;50.9;0.49;14;133.3;65.9
004;va;4;s;116.3;7.268;14;133.3;65.9
004;va;4;s;82.4;4.746;14;133.3;65.9
004;va;4;s;83.8;4.64;14;133.3;65.9
004;va;4;s;67.0;5.544;14;133.3;65.9
004;va;4;s;83.3;3.762;14;133.3;65.9
004;va;4;s;150.8;-21.6;14;133.3;65.9
004;va;4;s;50.6;-2.068;14;133.3;65.9
004;va;4;s;65.9;1.581;14;133.3;65.9
004;va;6;f;166.30000000000001;0;11;166.30000000000001;99.700000000000003
004;va;6;f;183.5;0;11;166.30000000000001;99.700000000000003
004;va;6;f;300.0;0;11;166.30000000000001;99.700000000000003
004;va;6;f;216.09999999999999;0;11;166.30000000000001;99.700000000000003
004;va;6;f;150.30000000000001;0;11;166.30000000000001;99.700000000000003
004;va;6;f;99.299999999999997;0;11;166.30000000000001;99.700000000000003
004;va;6;f;115.90000000000001;0;11;166.30000000000001;99.700000000000003
004;va;6;f;82.0;0;11;166.30000000000001;99.700000000000003
004;va;6;f;349.60000000000002;0;11;166.30000000000001;99.700000000000003
004;va;6;f;132.40000000000001;0;11;166.30000000000001;99.700000000000003
004;va;6;f;99.700000000000003;0;11;166.30000000000001;99.700000000000003
004;va;6;s;50.5;-2.11;19;50.5;99.5
004;va;6;s;133.7;7.51;19;50.5;99.5
004;va;6;s;66.6;5.14;19;50.5;99.5
004;va;6;s;50.6;2.129;19;50.5;99.5
004;va;6;s;100.1;5.266;19;50.5;99.5
004;va;6;s;83.6;5.892;19;50.5;99.5
004;va;6;s;82.9;4.003;19;50.5;99.5
004;va;6;s;51.3;2.668;19;50.5;99.5
004;va;6;s;66.4;4.453;19;50.5;99.5
004;va;6;s;83.9;3.255;19;50.5;99.5
004;va;6;s;183.6;3.554;19;50.5;99.5
004;va;6;s;84.0;-1.256;19;50.5;99.5
004;va;6;s;150.5;-21.936;19;50.5;99.5
004;va;6;s;82.0;-2.209;19;50.5;99.5
004;va;6;s;49.5;-0.87;19;50.5;99.5
004;va;6;s;66.8;3.373;19;50.5;99.5
004;va;6;s;50.2;1.638;19;50.5;99.5
004;va;6;s;117.5;-18.428;19;50.5;99.5
004;va;6;s;99.5;-5.464;19;50.5;99.5
004;va;7;f;399.80000000000001;0;6;399.80000000000001;82.799999999999997
004;va;7;f;168.0;0;6;399.80000000000001;82.799999999999997
004;va;7;f;348.89999999999998;0;6;399.80000000000001;82.799999999999997
004;va;7;f;265.80000000000001;0;6;399.80000000000001;82.799999999999997
004;va;7;f;214.80000000000001;0;6;399.80000000000001;82.799999999999997
004;va;7;f;82.799999999999997;0;6;399.80000000000001;82.799999999999997
004;va;7;s;49.2;5.245;9;49.2;66.5
004;va;7;s;83.3;-2.93;9;49.2;66.5
004;va;7;s;116.4;8.509;9;49.2;66.5
004;va;7;s;66.8;11.813;9;49.2;66.5
004;va;7;s;49.3;0.593;9;49.2;66.5
004;va;7;s;100.0;5.644;9;49.2;66.5
004;va;7;s;67.0;3.015;9;49.2;66.5
004;va;7;s;117.4;-17.48;9;49.2;66.5
004;va;7;s;66.5;-2.259;9;49.2;66.5
004;va;8;f;299.80000000000001;0;13;299.80000000000001;282.5
004;va;8;f;149.30000000000001;0;13;299.80000000000001;282.5
004;va;8;f;133.40000000000001;0;13;299.80000000000001;282.5
004;va;8;f;166.30000000000001;0;13;299.80000000000001;282.5
004;va;8;f;199.69999999999999;0;13;299.80000000000001;282.5
004;va;8;f;116.2;0;13;299.80000000000001;282.5
004;va;8;f;183.5;0;13;299.80000000000001;282.5
004;va;8;f;233.40000000000001;0;13;299.80000000000001;282.5
004;va;8;f;350.0;0;13;299.80000000000001;282.5
004;va;8;f;100.09999999999999;0;13;299.80000000000001;282.5
004;va;8;f;266.69999999999999;0;13;299.80000000000001;282.5
004;va;8;f;117.2;0;13;299.80000000000001;282.5
004;va;8;f;282.5;0;13;299.80000000000001;282.5
004;va;8;s;66.9;-2.602;15;66.9;49.7
004;va;8;s;100.1;4.554;15;66.9;49.7
004;va;8;s;67.1;2.981;15;66.9;49.7
004;va;8;s;50.3;1.904;15;66.9;49.7
004;va;8;s;116.2;5.735;15;66.9;49.7
004;va;8;s;99.8;6.818;15;66.9;49.7
004;va;8;s;67.1;6.862;15;66.9;49.7
004;va;8;s;49.9;0.65;15;66.9;49.7
004;va;8;s;83.1;8.236;15;66.9;49.7
004;va;8;s;82.7;4.649;15;66.9;49.7
004;va;8;s;66.6;-3.247;15;66.9;49.7
004;va;8;s;150.3;-20.545;15;66.9;49.7
004;va;8;s;83.7;5.837;15;66.9;49.7
004;va;8;s;367.4;0.381;15;66.9;49.7
004;va;8;s;49.7;0.891;15;66.9;49.7
004;va;10;f;99.900000000000006;0;12;99.900000000000006;132.40000000000001
004;va;10;f;200.30000000000001;0;12;99.900000000000006;132.40000000000001
004;va;10;f;133.5;0;12;99.900000000000006;132.40000000000001
004;va;10;f;183.69999999999999;0;12;99.900000000000006;132.40000000000001
004;va;10;f;149.40000000000001;0;12;99.900000000000006;132.40000000000001
004;va;10;f;299.60000000000002;0;12;99.900000000000006;132.40000000000001
004;va;10;f;117.09999999999999;0;12;99.900000000000006;132.40000000000001
004;va;10;f;166.5;0;12;99.900000000000006;132.40000000000001
004;va;10;f;83.599999999999994;0;12;99.900000000000006;132.40000000000001
004;va;10;f;116.3;0;12;99.900000000000006;132.40000000000001
004;va;10;f;100.2;0;12;99.900000000000006;132.40000000000001
004;va;10;f;132.40000000000001;0;12;99.900000000000006;132.40000000000001
004;va;10;s;133.2;-9.326;15;133.2;50.3
004;va;10;s;66.7;2.759;15;133.2;50.3
004;va;10;s;83.7;6.214;15;133.2;50.3
004;va;10;s;99.7;7.239;15;133.2;50.3
004;va;10;s;66.4;2.692;15;133.2;50.3
004;va;10;s;50.6;1.267;15;133.2;50.3
004;va;10;s;82.2;6.99;15;133.2;50.3
004;va;10;s;83.7;5.309;15;133.2;50.3
004;va;10;s;66.0;6.361;15;133.2;50.3
004;va;10;s;50.1;1.239;15;133.2;50.3
004;va;10;s;66.5;-1.484;15;133.2;50.3
004;va;10;s;66.3;3.357;15;133.2;50.3
004;va;10;s;83.9;3.145;15;133.2;50.3
004;va;10;s;150.1;-22.505;15;133.2;50.3
004;va;10;s;50.3;-2.847;15;133.2;50.3
004;va;11;f;333.0;0;18;333.0;431.80000000000001
004;va;11;f;183.5;0;18;333.0;431.80000000000001
004;va;11;f;100.0;0;18;333.0;431.80000000000001
004;va;11;f;99.700000000000003;0;18;333.0;431.80000000000001
004;va;11;f;133.0;0;18;333.0;431.80000000000001
004;va;11;f;149.69999999999999;0;18;333.0;431.80000000000001
004;va;11;f;183.0;0;18;333.0;431.80000000000001
004;va;11;f;233.30000000000001;0;18;333.0;431.80000000000001
004;va;11;f;232.80000000000001;0;18;333.0;431.80000000000001
004;va;11;f;133.09999999999999;0;18;333.0;431.80000000000001
004;va;11;f;216.09999999999999;0;18;333.0;431.80000000000001
004;va;11;f;166.40000000000001;0;18;333.0;431.80000000000001
004;va;11;f;216.30000000000001;0;18;333.0;431.80000000000001
004;va;11;f;99.599999999999994;0;18;333.0;431.80000000000001
004;va;11;f;83.5;0;18;333.0;431.80000000000001
004;va;11;f;98.700000000000003;0;18;333.0;431.80000000000001
004;va;11;f;199.5;0;18;333.0;431.80000000000001
004;va;11;f;431.80000000000001;0;18;333.0;431.80000000000001
004;va;11;s;50.7;-1.178;21;50.7;66.6
004;va;11;s;47.6;-0.524;21;50.7;66.6
004;va;11;s;66.9;3.185;21;50.7;66.6
004;va;11;s;50.0;2.26;21;50.7;66.6
004;va;11;s;117.0;5.644;21;50.7;66.6
004;va;11;s;84.0;4.926;21;50.7;66.6
004;va;11;s;67.1;4.265;21;50.7;66.6
004;va;11;s;49.5;0.614;21;50.7;66.6
004;va;11;s;66.8;4.828;21;50.7;66.6
004;va;11;s;99.8;9.482;21;50.7;66.6
004;va;11;s;116.4;5.962;21;50.7;66.6
004;va;11;s;133.1;-8.376;21;50.7;66.6
004;va;11;s;100.2;9.326;21;50.7;66.6
004;va;11;s;150.2;-25.508;21;50.7;66.6
004;va;11;s;133.2;23.893;21;50.7;66.6
004;va;11;s;100.0;4.196;21;50.7;66.6
004;va;11;s;132.8;-26.507;21;50.7;66.6
004;va;11;s;50.7;-1.439;21;50.7;66.6
004;va;11;s;99.8;7.918;21;50.7;66.6
004;va;11;s;66.7;-1.714;21;50.7;66.6
004;va;11;s;66.6;4.318;21;50.7;66.6
004;va;13;f;250.59999999999999;0;17;250.59999999999999;316.0
004;va;13;f;232.80000000000001;0;17;250.59999999999999;316.0
004;va;13;f;250.69999999999999;0;17;250.59999999999999;316.0
004;va;13;f;133.09999999999999;0;17;250.59999999999999;316.0
004;va;13;f;266.39999999999998;0;17;250.59999999999999;316.0
004;va;13;f;249.80000000000001;0;17;250.59999999999999;316.0
004;va;13;f;82.799999999999997;0;17;250.59999999999999;316.0
004;va;13;f;181.80000000000001;0;17;250.59999999999999;316.0
004;va;13;f;148.69999999999999;0;17;250.59999999999999;316.0
004;va;13;f;132.90000000000001;0;17;250.59999999999999;316.0
004;va;13;f;82.700000000000003;0;17;250.59999999999999;316.0
004;va;13;f;117.5;0;17;250.59999999999999;316.0
004;va;13;f;166.80000000000001;0;17;250.59999999999999;316.0
004;va;13;f;115.8;0;17;250.59999999999999;316.0
004;va;13;f;82.099999999999994;0;17;250.59999999999999;316.0
004;va;13;f;249.0;0;17;250.59999999999999;316.0
004;va;13;f;316.0;0;17;250.59999999999999;316.0
004;va;13;s;133.3;-7.621;23;133.3;49.5
004;va;13;s;117.2;8.322;23;133.3;49.5
004;va;13;s;133.1;9.347;23;133.3;49.5
004;va;13;s;50.9;-1.69;23;133.3;49.5
004;va;13;s;66.3;-3.82;23;133.3;49.5
004;va;13;s;67.7;3.754;23;133.3;49.5
004;va;13;s;49.4;0.846;23;133.3;49.5
004;va;13;s;66.8;3.799;23;133.3;49.5
004;va;13;s;50.6;0.888;23;133.3;49.5
004;va;13;s;100.0;6.085;23;133.3;49.5
004;va;13;s;134.2;8.83;23;133.3;49.5
004;va;13;s;50.9;2.663;23;133.3;49.5
004;va;13;s;50.5;0.429;23;133.3;49.5
004;va;13;s;117.8;-25.754;23;133.3;49.5
004;va;13;s;50.3;-1.542;23;133.3;49.5
004;va;13;s;133.4;7.531;23;133.3;49.5
004;va;13;s;82.8;-3.52;23;133.3;49.5
004;va;13;s;99.5;3.988;23;133.3;49.5
004;va;13;s;49.1;-1.578;23;133.3;49.5
004;va;13;s;66.8;1.824;23;133.3;49.5
004;va;13;s;49.8;0.666;23;133.3;49.5
004;va;13;s;83.0;-9.999;23;133.3;49.5
004;va;13;s;49.5;-0.937;23;133.3;49.5
004;va;14;f;315.5;0;13;315.5;132.0
004;va;14;f;250.59999999999999;0;13;315.5;132.0
004;va;14;f;267.89999999999998;0;13;315.5;132.0
004;va;14;f;83.799999999999997;0;13;315.5;132.0
004;va;14;f;116.0;0;13;315.5;132.0
004;va;14;f;99.599999999999994;0;13;315.5;132.0
004;va;14;f;116.0;0;13;315.5;132.0
004;va;14;f;115.2;0;13;315.5;132.0
004;va;14;f;150.40000000000001;0;13;315.5;132.0
004;va;14;f;83.700000000000003;0;13;315.5;132.0
004;va;14;f;166.5;0;13;315.5;132.0
004;va;14;f;233.0;0;13;315.5;132.0
004;va;14;f;132.0;0;13;315.5;132.0
004;va;14;s;50.8;-1.707;18;50.8;49.6
004;va;14;s;116.8;7.002;18;50.8;49.6
004;va;14;s;66.3;3.158;18;50.8;49.6
004;va;14;s;50.6;1.56;18;50.8;49.6
004;va;14;s;50.6;3.254;18;50.8;49.6
004;va;14;s;66.4;2.609;18;50.8;49.6
004;va;14;s;66.5;3.332;18;50.8;49.6
004;va;14;s;50.5;0.661;18;50.8;49.6
004;va;14;s;84.0;5.164;18;50.8;49.6
004;va;14;s;116.2;7.564;18;50.8;49.6
004;va;14;s;48.9;1.716;18;50.8;49.6
004;va;14;s;50.6;1.735;18;50.8;49.6
004;va;14;s;66.6;-22.698;18;50.8;49.6
004;va;14;s;50.9;-1.639;18;50.8;49.6
004;va;14;s;66.5;-2.566;18;50.8;49.6
004;va;14;s;100.0;7.104;18;50.8;49.6
004;va;14;s;66.7;2.977;18;50.8;49.6
004;va;14;s;49.6;1.046;18;50.8;49.6
004;va;15;f;332.60000000000002;0;13;332.60000000000002;198.09999999999999
004;va;15;f;117.2;0;13;332.60000000000002;198.09999999999999
004;va;15;f;166.80000000000001;0;13;332.60000000000002;198.09999999999999
004;va;15;f;233.30000000000001;0;13;332.60000000000002;198.09999999999999
004;va;15;f;315.69999999999999;0;13;332.60000000000002;198.09999999999999
004;va;15;f;81.5;0;13;332.60000000000002;198.09999999999999
004;va;15;f;83.400000000000006;0;13;332.60000000000002;198.09999999999999
004;va;15;f;133.09999999999999;0;13;332.60000000000002;198.09999999999999
004;va;15;f;167.0;0;13;332.60000000000002;198.09999999999999
004;va;15;f;116.0;0;13;332.60000000000002;198.09999999999999
004;va;15;f;265.5;0;13;332.60000000000002;198.09999999999999
004;va;15;f;84.099999999999994;0;13;332.60000000000002;198.09999999999999
