usr;condition;sentence;f/s;duration;amplitude
016;vs;1;f;316.5;0
016;vs;1;f;182.6;0
016;vs;1;f;149.0;0
016;vs;1;f;217.2;0
016;vs;1;f;266.8;0
016;vs;1;f;233.3;0
016;vs;1;f;399.6;0
016;vs;1;f;148.4;0
016;vs;1;f;84.0;0
016;vs;1;f;182.7;0
016;vs;1;f;382.4;0
016;vs;1;f;283.2;0
016;vs;1;f;266.3;0
016;vs;1;f;166.7;0
016;vs;1;f;366.7;0
016;vs;1;f;182.7;0
016;vs;1;f;100.0;0
016;vs;1;f;199.5;0
016;vs;1;f;199.7;0
016;vs;1;f;400.4;0
016;vs;1;s;66.2;5.59
016;vs;1;s;50.6;1.176
016;vs;1;s;133.6;10.124
016;vs;1;s;66.8;-3.318
016;vs;1;s;81.9;-3.569
016;vs;1;s;66.6;-3.211
016;vs;1;s;66.8;-4.167
016;vs;1;s;99.9;7.845
016;vs;1;s;66.9;3.78
016;vs;1;s;48.7;3.064
016;vs;1;s;133.4;6.541
016;vs;1;s;133.2;14.3
016;vs;1;s;66.1;5.276
016;vs;1;s;117.3;-22.581
016;vs;1;s;66.8;2.446
016;vs;1;s;66.2;-3.276
016;vs;1;s;166.4;-18.184
016;vs;1;s;66.2;5.488
016;vs;1;s;50.6;-5.187
016;vs;1;s;83.7;16.344
016;vs;1;s;49.2;0.619
016;vs;1;s;116.2;4.825
016;vs;1;s;83.0;-15.846
016;vs;1;s;49.7;-0.641
016;vs;1;s;283.3;-19.746
016;vs;2;f;0;0;0;0
016;vs;2;s;0;0;0
016;vs;4;f;133.5;0
016;vs;4;f;182.0;0
016;vs;4;f;115.5;0
016;vs;4;f;166.5;0
016;vs;4;f;115.7;0
016;vs;4;f;116.2;0
016;vs;4;f;115.4;0
016;vs;4;f;100.1;0
016;vs;4;f;466.3;0
016;vs;4;f;133.4;0
016;vs;4;f;200.2;0
016;vs;4;f;148.4;0
016;vs;4;f;134.1;0
016;vs;4;f;166.5;0
016;vs;4;f;100.1;0
016;vs;4;f;366.4;0
016;vs;4;s;133.5;8.718
016;vs;4;s;50.8;2.372
016;vs;4;s;67.3;2.551
016;vs;4;s;67.1;5.197
016;vs;4;s;48.8;2.174
016;vs;4;s;133.8;6.481
016;vs;4;s;67.2;5.934
016;vs;4;s;49.5;3.284
016;vs;4;s;50.3;2.099
016;vs;4;s;66.6;3.369
016;vs;4;s;133.5;-25.234
016;vs;4;s;66.7;-2.117
016;vs;4;s;99.9;5.744
016;vs;4;s;67.3;2.201
016;vs;4;s;50.5;-0.608
016;vs;4;s;116.9;-16.47
016;vs;4;s;166.6;20.636
016;vs;4;s;83.1;6.665
016;vs;4;s;66.8;8.582
016;vs;4;s;51.2;0.759
016;vs;4;s;149.5;-22.019
016;vs;4;s;51.4;-1.844
016;vs;5;f;99.7;0
016;vs;5;f;232.9;0
016;vs;5;f;83.5;0
016;vs;5;f;99.4;0
016;vs;5;f;266.4;0
016;vs;5;f;265.9;0
016;vs;5;f;232.9;0
016;vs;5;f;133.0;0
016;vs;5;f;183.9;0
016;vs;5;f;149.6;0
016;vs;5;f;348.9;0
016;vs;5;f;299.8;0
016;vs;5;f;132.1;0
016;vs;5;f;466.4;0
016;vs;5;f;148.2;0
016;vs;5;s;116.8;7.708
016;vs;5;s;133.7;7.421
016;vs;5;s;116.7;11.662
016;vs;5;s;116.7;7.937
016;vs;5;s;116.4;6.162
016;vs;5;s;100.5;-30.6
016;vs;5;s;133.4;9.451
016;vs;5;s;83.9;3.88
016;vs;5;s;250.9;-16.548
016;vs;5;s;50.6;-1.971
016;vs;5;s;50.2;-0.941
016;vs;5;s;100.3;15.033
016;vs;5;s;66.8;13.792
016;vs;5;s;66.4;4.021
016;vs;5;s;50.7;0.561
016;vs;5;s;133.6;-29.525
016;vs;5;s;100.4;10.4
016;vs;5;s;83.6;4.15
016;vs;5;s;150.1;-16.099
016;vs;5;s;149.5;15.48
016;vs;6;f;266.6;0
016;vs;6;f;216.7;0
016;vs;6;f;250.4;0
016;vs;6;f;99.0;0
016;vs;6;f;232.9;0
016;vs;6;f;99.7;0
016;vs;6;f;182.7;0
016;vs;6;f;132.1;0
016;vs;6;f;116.6;0
016;vs;6;f;232.3;0
016;vs;6;f;132.9;0
016;vs;6;f;999.1;0
016;vs;6;f;116.2;0
016;vs;6;f;466.1;0
