3331.3;RT
8061.1;RT
11808;RT
16437.7;RT
22633.5;RT
28876.5;+
3613.7;RT
21332.1;RT
23231.2;RT
23664.1;+
26345.7;RT
28993.8;RT
29492.3;RT
30126.2;RT
30592.7;RT
31842.3;+
32408.5;RT
41461.6;RT
42494.5;RT
43177.9;RT
43744.3;RT
44576.9;RT
45606.9;+
46074.8;RT
49321.4;RT
50787.1;RT
52786;RT
54135;+
54817.9;RT
1600.3;RT
2333.5;RT
3166.2;+
4365.5;RT
5648.8;RT
6330.9;RT
6980.7;+
8362.5;RT
9428.5;RT
10045.6;RT
10611.6;RT
11527;RT
12177;RT
12792.7;+
15590.8;RT
16806.8;RT
17422.8;RT
18055.8;RT
18739.1;+
20287.4;RT
21237.5;RT
21870.1;RT
22470.1;RT
23236;RT
24018.1;+
25500.8;RT
26782.7;RT
27415.6;RT
28032.4;RT
28648.2;RT
29364.8;+
30746.8;RT
32012.4;RT
32595.7;RT
33211.8;RT
33895;RT
34694.2;RT
35377;+
36809.1;RT
38008.1;RT
38924.8;RT
39973.3;RT
41056.5;+
42038.6;RT
43121.4;RT
43921.2;+
44703.1;RT
45619.9;RT
46402.1;RT
47151.9;+
47885.1;RT
48684.1;RT
49381.6;RT
50498.7;RT
51430;RT
52446.5;RT
53613.3;+
54611.8;RT
55804.6;RT
57118.4;RT
57600.6;RT
58899.7;RT
59849.9;+
60832.5;RT
61764.8;RT
62630.8;RT
63480.6;+
64229.7;RT
65029;RT
65728.7;+
66495.3;RT
67294.1;RT
68127;RT
69192.9;RT
69925.8;+
71341.7;RT
72174.4;RT
72857.3;RT
73989.7;RT
74655.9;RT
75472.2;+
77154.6;RT
77886.8;RT
78902;RT
79001.2;+
80367;RT
81833.7;RT
82750;+
83464.9;RT
85348.7;RT
85997.4;RT
86746.8;RT
87413.7;RT
88146.4;RT
88879.3;+
91260.8;RT
92092.3;RT
93241.9;RT
94307.6;RT
95156.3;+
95973;RT
97188.2;RT
97938.1;+
98654;RT
99354;RT
99986.9;RT
100851.8;RT
101669.1;+
103117.5;RT
103850.6;RT
104616.9;RT
105299.9;RT
106016;RT
106748.6;+
107664.4;RT
108447.4;RT
109097.3;RT
109813;RT
110546;RT
111411.9;RT
114093.4;+
115175.2;RT
116457.9;RT
117673.7;RT
