usr;condition;sentence;f/s;duration;amplitude
007;vs;1;f;165.3;0
007;vs;1;f;166.8;0
007;vs;1;f;149.2;0
007;vs;1;f;100.4;0
007;vs;1;f;147.4;0
007;vs;1;f;133.1;0
007;vs;1;f;166.7;0
007;vs;1;f;99.8;0
007;vs;1;f;182.4;0
007;vs;1;f;165.7;0
007;vs;1;f;82.8;0
007;vs;1;f;100.1;0
007;vs;1;s;83.5;-2.317
007;vs;1;s;117.7;-7.702
007;vs;1;s;66.4;3.748
007;vs;1;s;66.7;2.595
007;vs;1;s;82.5;2.807
007;vs;1;s;99.7;4.896
007;vs;1;s;385.4;3.844
007;vs;1;s;66.6;2.262
007;vs;1;s;66.6;1.033
007;vs;1;s;100.9;-9.557
007;vs;1;s;84.0;-2.042
007;vs;1;s;66.7;-1.339
007;vs;1;s;398.6;-9.238
007;vs;1;s;99.7;3.102
007;vs;1;s;82.1;2.808
007;vs;1;s;133.7;4.837
007;vs;1;s;50.7;-1.076
007;vs;2;f;83.0;0
007;vs;2;f;166.3;0
007;vs;2;f;149.4;0
007;vs;2;f;117.4;0
007;vs;2;f;149.2;0
007;vs;2;f;183.9;0
007;vs;2;f;149.2;0
007;vs;2;f;100.1;0
007;vs;2;f;82.3;0
007;vs;2;f;82.2;0
007;vs;2;f;166.8;0
007;vs;2;f;165.8;0
007;vs;2;f;182.0;0
007;vs;2;f;117.3;0
007;vs;2;f;83.0;0
007;vs;2;f;565.2;0
007;vs;2;f;99.3;0
007;vs;2;f;217.4;0
007;vs;2;s;66.5;-1.647
007;vs;2;s;283.3;4.306
007;vs;2;s;67.2;5.597
007;vs;2;s;99.8;2.96
007;vs;2;s;66.7;-2.358
007;vs;2;s;99.8;4.205
007;vs;2;s;66.6;-1.319
007;vs;2;s;133.7;6.129
007;vs;2;s;117.6;-12.299
007;vs;2;s;66.6;2.895
007;vs;2;s;49.3;-0.485
007;vs;2;s;117.7;-7.151
007;vs;2;s;66.8;4.367
007;vs;2;s;116.4;11.477
007;vs;2;s;151.1;-15.483
007;vs;2;s;133.8;4.385
007;vs;2;s;200.1;-1.858
007;vs;2;s;118.0;-8.362
007;vs;2;s;116.0;7.991
007;vs;3;f;282.5;0
007;vs;3;f;83.9;0
007;vs;3;f;150.7;0
007;vs;3;f;115.6;0
007;vs;3;f;183.7;0
007;vs;3;f;84.1;0
007;vs;3;f;99.5;0
007;vs;3;f;149.1;0
007;vs;3;f;949.3;0
007;vs;3;f;615.3;0
007;vs;3;s;50.1;-3.407
007;vs;3;s;83.8;-3.509
007;vs;3;s;66.8;-3.2
007;vs;3;s;199.1;1.163
007;vs;3;s;66.8;0.784
007;vs;3;s;99.9;3.19
007;vs;3;s;100.3;3.295
007;vs;3;s;84.0;4.238
007;vs;3;s;50.5;2.877
007;vs;3;s;49.7;1.777
007;vs;3;s;66.7;2.117
007;vs;3;s;167.9;2.34
007;vs;3;s;100.5;-12.384
007;vs;3;s;82.2;-1.407
007;vs;3;s;51.1;-0.599
007;vs;3;s;50.8;1.972
007;vs;3;s;364.4;-1.269
007;vs;3;s;49.1;0.855
007;vs;3;s;199.8;1.733
007;vs;3;s;66.9;-0.301
007;vs;4;f;315.0;0
007;vs;4;f;149.3;0
007;vs;4;f;84.4;0
007;vs;4;f;115.6;0
007;vs;4;f;133.3;0
007;vs;4;f;149.2;0
007;vs;4;f;99.9;0
007;vs;4;f;183.6;0
007;vs;4;f;133.6;0
007;vs;4;f;149.5;0
007;vs;4;f;166.4;0
007;vs;4;f;150.1;0
007;vs;4;f;166.9;0
007;vs;4;f;148.9;0
007;vs;4;f;183.7;0
007;vs;4;f;116.1;0
007;vs;4;f;149.4;0
007;vs;4;f;182.3;0
007;vs;4;f;81.2;0
007;vs;4;f;133.8;0
007;vs;4;f;166.4;0
007;vs;4;f;100.3;0
007;vs;4;f;165.8;0
007;vs;4;s;200.5;2.489
007;vs;4;s;115.9;-3.234
007;vs;4;s;150.5;-10.782
007;vs;4;s;66.2;-0.975
007;vs;4;s;82.6;3.236
007;vs;4;s;66.6;4.173
007;vs;4;s;133.3;-5.77
007;vs;4;s;82.8;1.576
007;vs;4;s;150.4;-6.23
007;vs;4;s;133.4;4.934
007;vs;4;s;66.6;2.689
007;vs;4;s;99.9;4.606
007;vs;4;s;83.7;2.188
007;vs;4;s;49.6;-2.183
007;vs;4;s;150.6;8.267
007;vs;4;s;50.4;-0.35
007;vs;4;s;117.4;-10.207
007;vs;4;s;150.4;-2.464
007;vs;4;s;134.4;-9.305
007;vs;4;s;66.4;5.366
007;vs;4;s;115.9;4.422
007;vs;4;s;434.9;3.792
007;vs;4;s;66.8;1.436
007;vs;4;s;66.8;3.202
007;vs;4;s;99.5;4.806
007;vs;4;s;133.9;-11.417
007;vs;5;f;249.3;0
007;vs;5;f;115.7;0
007;vs;5;f;98.5;0
007;vs;5;f;249.2;0
007;vs;5;f;182.6;0
007;vs;5;f;132.1;0
007;vs;5;f;83.9;0
007;vs;5;f;82.7;0
007;vs;5;f;166.3;0
007;vs;5;f;249.7;0
007;vs;5;f;148.9;0
007;vs;5;f;132.6;0
007;vs;5;f;82.6;0
007;vs;5;f;100.2;0
007;vs;5;f;115.7;0
007;vs;5;f;99.1;0
007;vs;5;f;266.8;0
007;vs;5;f;299.6;0
007;vs;5;f;615.8;0
007;vs;5;f;166.6;0
007;vs;5;s;49.4;-0.642
007;vs;5;s;66.6;-5.741
007;vs;5;s;50.5;-0.843
007;vs;5;s;67.0;3.403
007;vs;5;s;49.1;-0.828
007;vs;5;s;151.0;4.863
007;vs;5;s;133.1;5.082
007;vs;5;s;50.9;-0.738
007;vs;5;s;167.6;3.586
007;vs;5;s;49.5;-0.803
007;vs;5;s;66.8;2.908
007;vs;5;s;66.9;1.572
007;vs;5;s;99.8;-8.493
007;vs;5;s;100.0;-3.153
007;vs;5;s;100.4;13.646
007;vs;5;s;50.2;1.268
007;vs;5;s;99.4;-11.888
007;vs;5;s;49.0;-0.432
007;vs;5;s;49.4;-0.762
007;vs;5;s;49.2;-0.728
007;vs;5;s;49.3;-1.086
007;vs;5;s;67.0;0.714
007;vs;5;s;117.4;-2.221
007;vs;7;f;300.0;0
007;vs;7;f;99.3;0
007;vs;7;f;83.1;0
007;vs;7;f;366.6;0
007;vs;7;f;166.5;0
007;vs;7;f;216.3;0
007;vs;7;f;133.4;0
007;vs;7;f;233.1;0
007;vs;7;f;99.9;0
007;vs;7;f;116.3;0
007;vs;7;f;99.9;0
007;vs;7;f;198.3;0
007;vs;7;f;182.8;0
007;vs;7;f;166.4;0
007;vs;7;f;149.2;0
