usr;condition;sentence;f/s;duration;amplitude
020;va;1;f;250.2;0
020;va;1;f;82.6;0
020;va;1;f;83.0;0
020;va;1;f;398.8;0
020;va;1;f;433.0;0
020;va;1;f;199.7;0
020;va;1;f;333.3;0
020;va;1;f;81.3;0
020;va;1;f;115.8;0
020;va;1;f;115.9;0
020;va;1;f;449.1;0
020;va;1;f;117.1;0
020;va;1;s;50.3;0.194
020;va;1;s;66.5;0.951
020;va;1;s;50.5;-0.281
020;va;1;s;66.7;1.496
020;va;1;s;132.6;5.612
020;va;1;s;67.5;1.897
020;va;1;s;49.6;1.174
020;va;1;s;50.4;1.003
020;va;1;s;49.0;0.662
020;va;1;s;100.1;3.483
020;va;1;s;83.3;2.657
020;va;1;s;133.4;-12.412
020;va;1;s;49.6;0.259
020;va;1;s;149.9;12.506
020;va;1;s;100.2;-11.271
020;va;1;s;133.1;-11.168
020;va;2;f;283.2;0
020;va;2;f;182.7;0
020;va;2;f;99.2;0
020;va;2;f;415.9;0
020;va;2;f;333.0;0
020;va;2;f;150.2;0
020;va;2;f;315.8;0
020;va;2;f;166.5;0
020;va;2;f;116.7;0
020;va;2;f;216.2;0
020;va;2;f;117.0;0
020;va;2;f;182.6;0
020;va;2;s;49.7;-1.515
020;va;2;s;49.4;-0.489
020;va;2;s;133.8;3.765
020;va;2;s;117.1;4.597
020;va;2;s;133.7;3.829
020;va;2;s;50.2;-0.357
020;va;2;s;133.6;5.291
020;va;2;s;49.6;-0.232
020;va;2;s;183.8;5.863
020;va;2;s;166.8;-14.984
020;va;2;s;49.5;-1.497
020;va;2;s;132.7;4.77
020;va;2;s;50.5;-1.251
020;va;2;s;50.2;-0.571
020;va;4;f;166.5;0
020;va;4;f;150.0;0
020;va;4;f;199.9;0
020;va;4;f;216.2;0
020;va;4;f;266.6;0
020;va;4;f;117.1;0
020;va;4;f;499.3;0
020;va;4;f;250.2;0
020;va;4;f;166.4;0
020;va;4;f;99.7;0
020;va;4;f;665.0;0
020;va;4;f;415.5;0
020;va;4;s;150.5;-8.727
020;va;4;s;50.7;-0.663
020;va;4;s;67.0;3.173
020;va;4;s;316.3;4.382
020;va;4;s;67.3;1.979
020;va;4;s;49.1;1.022
020;va;4;s;66.5;4.571
020;va;4;s;49.5;0.451
020;va;4;s;99.9;3.329
020;va;4;s;117.4;-12.608
020;va;4;s;50.2;0.336
020;va;4;s;49.5;0.871
020;va;4;s;49.5;0.94
020;va;4;s;100.1;2.277
020;va;4;s;50.1;0.601
020;va;4;s;216.6;-10.132
020;va;4;s;49.3;0.461
020;va;4;s;83.8;-1.55
020;va;4;s;66.8;2.519
020;va;4;s;50.4;0.447
020;va;5;f;282.5;0
020;va;5;f;200.2;0
020;va;5;f;99.9;0
020;va;5;f;117.0;0
020;va;5;f;132.0;0
020;va;5;f;83.3;0
020;va;5;f;184.0;0
020;va;5;f;382.5;0
020;va;5;f;233.4;0
020;va;5;f;233.1;0
020;va;5;f;83.2;0
020;va;5;f;166.3;0
020;va;5;f;100.2;0
020;va;5;f;99.8;0
020;va;5;f;266.9;0
020;va;5;f;148.7;0
020;va;5;f;233.2;0
020;va;5;f;299.8;0
020;va;5;f;216.2;0
020;va;5;f;133.3;0
020;va;5;s;66.9;-1.914
020;va;5;s;66.7;-3.248
020;va;5;s;67.0;4.789
020;va;5;s;66.4;2.124
020;va;5;s;67.1;4.652
020;va;5;s;50.6;0.6
020;va;5;s;216.0;4.278
020;va;5;s;49.5;-0.459
020;va;5;s;66.5;2.131
020;va;5;s;48.9;0.338
020;va;5;s;116.2;1.941
020;va;5;s;49.5;0.531
020;va;5;s;49.0;0.585
020;va;5;s;116.2;3.412
020;va;5;s;133.2;-5.481
020;va;5;s;50.3;-1.124
020;va;5;s;116.4;2.479
020;va;5;s;133.3;-3.368
020;va;5;s;150.1;7.424
020;va;5;s;49.1;3.737
020;va;5;s;150.7;-15.861
020;va;5;s;115.8;3.776
020;va;5;s;49.5;1.601
020;va;6;f;150.3;0
020;va;6;f;316.9;0
020;va;6;f;265.9;0
020;va;6;f;199.7;0
020;va;6;f;181.7;0
020;va;6;f;133.0;0
020;va;6;f;98.6;0
020;va;6;f;167.1;0
020;va;6;f;117.1;0
020;va;6;f;182.8;0
020;va;6;f;216.3;0
020;va;6;f;399.7;0
020;va;6;f;83.4;0
020;va;6;f;148.2;0
020;va;6;f;100.3;0
020;va;6;f;133.2;0
020;va;6;s;333.2;-1.124
020;va;6;s;66.4;5.66
020;va;6;s;116.9;4.477
020;va;6;s;66.7;1.245
020;va;6;s;50.7;0.559
020;va;6;s;51.2;2.738
020;va;6;s;66.1;1.859
020;va;6;s;49.7;0.087
020;va;6;s;133.2;4.446
020;va;6;s;133.6;-12.19
020;va;6;s;49.7;-0.922
020;va;6;s;100.2;3.47
020;va;6;s;50.4;-0.364
020;va;6;s;116.7;3.789
020;va;6;s;49.8;-0.397
020;va;6;s;50.6;0.868
020;va;6;s;66.2;1.563
020;va;6;s;99.6;8.605
020;va;6;s;133.6;-5.458
020;va;7;f;166.1;0
020;va;7;f;133.7;0
020;va;7;f;182.1;0
020;va;7;f;499.4;0
020;va;7;f;500.1;0
020;va;7;f;150.6;0
020;va;7;f;349.5;0
020;va;7;f;100.0;0
020;va;7;f;299.3;0
020;va;7;f;283.0;0
020;va;7;f;266.6;0
020;va;7;f;316.0;0
020;va;7;f;133.0;0
020;va;7;f;149.2;0
020;va;7;f;249.9;0
020;va;7;f;133.2;0
020;va;7;f;248.9;0
020;va;7;f;117.1;0
020;va;7;f;132.1;0
020;va;7;f;147.8;0
020;va;7;f;249.8;0
020;va;7;s;67.0;-0.963
