usr;condition;sentence;f/s;duration;amplitude
023;vs;1;f;266.6;0
023;vs;1;f;316.9;0
023;vs;1;f;166.0;0
023;vs;1;f;183.7;0
023;vs;1;f;433.1;0
023;vs;1;f;82.6;0
023;vs;1;f;266.1;0
023;vs;1;f;182.8;0
023;vs;1;f;100.3;0
023;vs;1;f;299.9;0
023;vs;1;f;516.0;0
023;vs;1;f;183.1;0
023;vs;1;f;82.7;0
023;vs;1;f;133.2;0
023;vs;1;f;149.6;0
023;vs;1;f;133.2;0
023;vs;1;f;99.7;0
023;vs;1;f;199.6;0
023;vs;1;f;133.5;0
023;vs;1;f;132.0;0
023;vs;1;f;315.8;0
023;vs;1;f;133.1;0
023;vs;1;f;199.4;0
023;vs;1;f;282.6;0
023;vs;1;f;99.9;0
023;vs;1;s;83.7;-1.863
023;vs;1;s;50.4;-1.137
023;vs;1;s;117.2;3.707
023;vs;1;s;82.9;-3.098
023;vs;1;s;133.7;8.277
023;vs;1;s;66.9;2.594
023;vs;1;s;51.4;-0.564
023;vs;1;s;82.3;-6.754
023;vs;1;s;49.8;-0.538
023;vs;1;s;117.3;-4.193
023;vs;1;s;134.0;8.379
023;vs;1;s;133.3;-7.141
023;vs;1;s;50.0;-0.938
023;vs;1;s;49.9;0.307
023;vs;1;s;83.5;2.408
023;vs;1;s;99.8;3.726
023;vs;1;s;100.1;-4.749
023;vs;1;s;49.8;-1.092
023;vs;1;s;49.5;-0.393
023;vs;1;s;83.5;3.61
023;vs;1;s;116.4;4.068
023;vs;1;s;66.8;1.628
023;vs;1;s;50.4;1.828
023;vs;1;s;50.5;1.13
023;vs;1;s;50.2;0.34
023;vs;1;s;116.8;4.093
023;vs;1;s;49.8;-0.568
023;vs;1;s;133.4;4.561
023;vs;1;s;50.4;1.153
023;vs;1;s;66.2;1.967
023;vs;1;s;133.3;-12.432
023;vs;1;s;66.4;-1.035
023;vs;2;f;149.3;0
023;vs;2;f;316.6;0
023;vs;2;f;182.8;0
023;vs;2;f;133.4;0
023;vs;2;f;149.9;0
023;vs;2;f;250.6;0
023;vs;2;f;249.3;0
023;vs;2;f;83.0;0
023;vs;2;f;233.2;0
023;vs;2;f;83.8;0
023;vs;2;f;232.8;0
023;vs;2;f;149.4;0
023;vs;2;f;116.2;0
023;vs;2;f;166.5;0
023;vs;2;f;233.1;0
023;vs;2;f;83.8;0
023;vs;2;f;199.5;0
023;vs;2;f;183.0;0
023;vs;2;f;131.5;0
023;vs;2;f;1249.0;0
023;vs;2;f;299.8;0
023;vs;2;f;150.2;0
023;vs;2;f;299.7;0
023;vs;2;s;150.7;-10.928
023;vs;2;s;50.3;-0.58
023;vs;2;s;49.3;5.047
023;vs;2;s;66.9;0.838
023;vs;2;s;150.1;-5.458
023;vs;2;s;99.7;3.431
023;vs;2;s;116.7;6.217
023;vs;2;s;66.6;-4.196
023;vs;2;s;133.7;4.457
023;vs;2;s;66.9;1.718
023;vs;2;s;49.8;1.356
023;vs;2;s;66.7;3.49
023;vs;2;s;50.4;0.56
023;vs;2;s;49.4;2.004
023;vs;2;s;66.6;3.071
023;vs;2;s;49.8;0.615
023;vs;2;s;100.2;-11.396
023;vs;2;s;50.3;0.657
