usr;condition;sentence;f/s;duration;amplitude
007;va;1;f;99.9;0
007;va;1;f;183.1;0
007;va;1;f;300.3;0
007;va;1;f;200.6;0
007;va;1;f;215.5;0
007;va;1;f;133.6;0
007;va;1;f;84.1;0
007;va;1;f;283.2;0
007;va;1;f;231.2;0
007;va;1;f;99.6;0
007;va;1;f;430.9;0
007;va;1;f;216.6;0
007;va;1;f;99.5;0
007;va;1;f;82.9;0
007;va;1;f;266.7;0
007;va;1;f;149.6;0
007;va;1;f;133.4;0
007;va;1;f;83.4;0
007;va;1;f;149.1;0
007;va;1;f;165.0;0
007;va;1;s;66.5;2.896
007;va;1;s;49.7;0.504
007;va;1;s;133.6;5.225
007;va;1;s;49.6;1.729
007;va;1;s;82.0;0.858
007;va;1;s;66.3;1.419
007;va;1;s;133.9;4.971
007;va;1;s;65.1;1.42
007;va;1;s;135.2;2.397
007;va;1;s;50.3;-0.869
007;va;1;s;117.1;-12.479
007;va;1;s;66.9;2.533
007;va;1;s;151.4;-11.175
007;va;1;s;49.7;0.822
007;va;1;s;83.6;-2.982
007;va;1;s;134.9;-2.786
007;va;1;s;99.7;2.654
007;va;1;s;50.1;-2.367
007;va;1;s;83.2;-3.981
007;va;1;s;83.6;4.07
007;va;1;s;100.1;3.359
007;va;1;s;116.6;3.285
007;va;1;s;83.5;6.002
007;va;1;s;66.6;1.913
007;va;1;s;49.7;0.784
007;va;1;s;50.6;1.624
007;va;1;s;49.3;-11.09
007;va;1;s;66.7;-1.292
007;va;1;s;201.7;2.704
007;va;1;s;50.0;-0.319
007;va;1;s;199.1;3.113
007;va;1;s;82.9;-2.312
007;va;2;f;299.6;0
007;va;2;f;133.2;0
007;va;2;f;150.5;0
007;va;2;f;99.9;0
007;va;2;f;133.1;0
007;va;2;f;82.5;0
007;va;2;f;99.7;0
007;va;2;f;166.3;0
007;va;2;f;131.7;0
007;va;2;f;150.2;0
007;va;2;s;133.3;-10.501
007;va;2;s;49.7;-0.351
007;va;2;s;50.5;-0.832
007;va;2;s;115.9;3.002
007;va;2;s;82.6;3.204
007;va;2;s;49.7;-0.661
007;va;2;s;50.3;0.948
007;va;2;s;66.2;-2.286
007;va;2;s;49.4;0.926
007;va;2;s;49.8;0.935
007;va;2;s;100.4;5.051
007;va;2;s;49.4;0.387
007;va;2;s;100.0;0.23
007;va;2;s;48.7;0.304
007;va;2;s;100.6;-6.691
007;va;2;s;132.5;-3.904
007;va;2;s;83.1;3.033
007;va;2;s;150.0;-10.417
007;va;2;s;50.8;-0.447
007;va;2;s;100.8;1.541
007;va;4;f;150.0;0
007;va;4;f;166.0;0
007;va;4;f;199.8;0
007;va;4;f;450.0;0
007;va;4;f;82.8;0
007;va;4;f;249.3;0
007;va;4;f;249.0;0
007;va;4;s;116.8;-10.243
007;va;4;s;49.6;0.667
007;va;4;s;99.2;3.801
007;va;4;s;66.7;-2.917
007;va;4;s;200.2;7.595
007;va;4;s;66.2;2.425
007;va;4;s;66.4;2.903
007;va;4;s;49.5;0.558
007;va;4;s;313.2;2.954
007;va;4;s;66.8;2.255
007;va;4;s;150.4;-9.704
007;va;4;s;49.5;0.458
007;va;5;f;299.6;0
007;va;5;f;166.7;0
007;va;5;f;199.7;0
007;va;5;f;182.9;0
007;va;5;f;132.8;0
007;va;5;f;149.4;0
007;va;5;f;116.2;0
007;va;5;f;449.1;0
007;va;5;f;200.1;0
007;va;5;f;166.6;0
007;va;5;f;115.9;0
007;va;5;f;233.1;0
007;va;5;f;83.5;0
007;va;5;f;116.1;0
007;va;5;f;383.3;0
007;va;5;s;50.0;-1.016
007;va;5;s;116.1;5.271
007;va;5;s;66.5;2.102
007;va;5;s;50.7;-1.521
007;va;5;s;50.2;-0.342
007;va;5;s;116.9;-3.629
007;va;5;s;66.5;-2.436
007;va;5;s;200.2;2.478
007;va;5;s;50.0;1.73
007;va;5;s;66.2;1.335
007;va;5;s;84.0;3.073
007;va;5;s;67.0;3.389
007;va;5;s;66.9;1.025
007;va;5;s;99.5;2.642
007;va;5;s;66.6;1.754
007;va;5;s;67.0;1.443
007;va;5;s;67.0;-10.94
007;va;5;s;66.7;-1.251
007;va;5;s;49.5;-1.356
007;va;5;s;116.7;4.427
007;va;5;s;66.3;1.532
007;va;6;f;132.9;0
007;va;6;f;183.1;0
007;va;6;f;282.8;0
007;va;6;f;116.7;0
007;va;6;f;200.2;0
007;va;6;f;216.2;0
007;va;6;f;132.7;0
007;va;6;f;83.0;0
007;va;6;f;166.8;0
007;va;6;f;232.3;0
007;va;6;f;133.1;0
007;va;6;f;98.2;0
007;va;6;s;66.5;-3.379
007;va;6;s;66.5;-7.462
007;va;6;s;216.6;5.36
007;va;6;s;50.0;4.87
007;va;6;s;66.8;-2.861
007;va;6;s;115.6;4.18
