usr;condition;sentence;f/s;duration;amplitude
015;vs;1;f;199.6;0
015;vs;1;f;82.5;0
015;vs;1;f;83.4;0
015;vs;1;f;182.0;0
015;vs;1;f;99.2;0
015;vs;1;f;149.8;0
015;vs;1;f;115.7;0
015;vs;1;f;100.3;0
015;vs;1;f;265.8;0
015;vs;1;f;99.9;0
015;vs;1;f;166.3;0
015;vs;1;f;82.4;0
015;vs;1;f;184.1;0
015;vs;1;f;149.7;0
015;vs;1;f;450.1;0
015;vs;1;f;366.6;0
015;vs;1;f;233.1;0
015;vs;1;s;67.0;-3.136
015;vs;1;s;49.5;1.255
015;vs;1;s;66.8;1.417
015;vs;1;s;66.6;3.049
015;vs;1;s;101.2;3.093
015;vs;1;s;67.5;1.142
015;vs;1;s;49.6;0.284
015;vs;1;s;66.4;1.885
015;vs;1;s;49.8;1.335
015;vs;1;s;66.6;1.081
015;vs;1;s;66.4;2.487
015;vs;1;s;116.6;4.683
015;vs;1;s;66.3;1.575
015;vs;1;s;50.3;0.703
015;vs;1;s;100.4;-14.436
015;vs;1;s;83.9;-1.326
015;vs;1;s;100.6;4.278
015;vs;1;s;66.7;1.562
015;vs;1;s;49.1;0.79
015;vs;1;s;49.7;-0.827
015;vs;1;s;49.9;0.359
015;vs;2;f;266.7;0
015;vs;2;f;100.0;0
015;vs;2;f;582.5;0
015;vs;2;f;183.7;0
015;vs;2;f;132.6;0
015;vs;2;f;199.8;0
015;vs;2;f;232.9;0
015;vs;2;f;116.0;0
015;vs;2;f;166.5;0
015;vs;2;f;133.3;0
015;vs;2;f;299.7;0
015;vs;2;f;116.2;0
015;vs;2;f;133.5;0
015;vs;2;f;417.2;0
015;vs;2;f;466.0;0
015;vs;2;f;516.0;0
015;vs;2;f;698.3;0
015;vs;2;s;49.9;-5.638
015;vs;2;s;84.8;-4.515
015;vs;2;s;49.7;-1.174
015;vs;2;s;50.4;0.795
015;vs;2;s;66.7;2.243
015;vs;2;s;67.4;1.427
015;vs;2;s;133.5;3.822
015;vs;2;s;115.9;3.135
015;vs;2;s;66.8;1.862
015;vs;2;s;133.6;3.566
015;vs;2;s;49.6;2.545
015;vs;2;s;82.6;3.934
015;vs;2;s;50.1;1.021
015;vs;2;s;84.2;1.376
015;vs;2;s;150.6;-14.359
015;vs;2;s;50.4;-1.445
015;vs;2;s;50.5;0.848
015;vs;2;s;167.3;4.984
015;vs;3;f;83.6;0
015;vs;3;f;532.4;0
015;vs;3;f;183.2;0
015;vs;3;f;199.8;0
015;vs;3;f;133.4;0
015;vs;3;f;82.4;0
015;vs;3;f;133.0;0
015;vs;3;f;82.6;0
015;vs;3;f;233.2;0
015;vs;3;f;166.6;0
015;vs;3;f;100.0;0
015;vs;3;f;150.3;0
015;vs;3;f;99.9;0
015;vs;3;f;450.1;0
015;vs;3;f;232.7;0
015;vs;3;f;733.1;0
015;vs;3;f;233.7;0
015;vs;3;f;133.5;0
015;vs;3;f;315.6;0
015;vs;3;s;116.8;-12.385
015;vs;3;s;49.6;-0.587
015;vs;3;s;117.8;3.726
015;vs;3;s;67.4;2.427
015;vs;3;s;66.6;2.371
015;vs;3;s;100.2;3.855
015;vs;3;s;83.0;1.593
015;vs;3;s;100.0;2.497
015;vs;3;s;100.3;2.461
015;vs;3;s;49.2;3.09
015;vs;3;s;100.1;2.258
015;vs;3;s;100.0;-13.883
015;vs;3;s;50.5;-1.073
015;vs;3;s;116.1;2.115
015;vs;3;s;50.7;1.83
015;vs;3;s;66.6;-1.468
015;vs;3;s;50.9;-0.8
015;vs;3;s;48.9;-0.744
015;vs;3;s;66.4;1.469
015;vs;3;s;66.5;1.75
015;vs;3;s;50.4;-1.86
015;vs;5;f;265.8;0
015;vs;5;f;250.4;0
015;vs;5;f;82.0;0
015;vs;5;f;150.9;0
015;vs;5;f;148.6;0
015;vs;5;f;215.3;0
015;vs;5;f;182.7;0
015;vs;5;f;133.1;0
015;vs;5;f;182.2;0
015;vs;5;f;199.6;0
015;vs;5;f;231.7;0
015;vs;5;f;216.0;0
015;vs;5;f;532.7;0
015;vs;5;f;417.1;0
015;vs;5;s;117.8;-11.027
015;vs;5;s;82.7;-3.083
015;vs;5;s;116.3;3.296
015;vs;5;s;51.0;1.993
015;vs;5;s;49.2;0.644
015;vs;5;s;48.6;1.011
015;vs;5;s;84.3;2.96
015;vs;5;s;66.3;1.18
015;vs;5;s;50.9;1.03
015;vs;5;s;115.7;2.916
015;vs;5;s;82.5;2.517
015;vs;5;s;67.1;1.229
015;vs;5;s;66.6;2.928
015;vs;5;s;100.0;-15.739
015;vs;5;s;67.0;2.019
015;vs;5;s;134.4;4.67
015;vs;5;s;82.6;1.717
015;vs;5;s;50.8;-1.167
015;vs;5;s;49.4;-0.288
015;vs;6;f;282.5;0
015;vs;6;f;200.3;0
015;vs;6;f;100.2;0
015;vs;6;f;132.7;0
015;vs;6;f;117.2;0
015;vs;6;f;166.5;0
015;vs;6;f;333.3;0
015;vs;6;f;199.5;0
015;vs;6;f;349.0;0
015;vs;6;f;83.6;0
015;vs;6;f;715.0;0
015;vs;6;f;249.0;0
015;vs;6;f;1849.1;0
015;vs;6;f;1165.9;0
015;vs;6;s;167.8;-13.398
015;vs;6;s;82.6;-1.814
015;vs;6;s;48.9;-0.426
015;vs;6;s;83.4;2.65
015;vs;6;s;66.1;2.242
015;vs;6;s;150.0;4.08
015;vs;6;s;83.8;2.599
015;vs;6;s;117.8;3.771
015;vs;6;s;83.4;2.077
015;vs;6;s;166.6;3.979
015;vs;6;s;100.2;3.125
015;vs;6;s;66.7;2.21
015;vs;6;s;134.4;-12.854
015;vs;6;s;49.5;-0.85
015;vs;6;s;49.1;-0.449
015;vs;6;s;50.8;0.901
015;vs;6;s;49.1;-0.237
015;vs;6;s;66.4;-0.873
015;vs;6;s;49.9;-0.688
015;vs;8;f;499.7;0
015;vs;8;f;133.4;0
015;vs;8;f;133.3;0
015;vs;8;f;100.1;0
015;vs;8;f;149.9;0
015;vs;8;f;149.9;0
015;vs;8;f;133.1;0
015;vs;8;f;182.0;0
015;vs;8;f;300.0;0
015;vs;8;f;184.2;0
015;vs;8;f;183.7;0
015;vs;8;f;82.9;0
015;vs;8;f;516.6;0
015;vs;8;f;233.3;0
015;vs;8;f;1132.6;0
015;vs;8;f;416.1;0
015;vs;8;f;849.4;0
015;vs;8;f;316.3;0
015;vs;8;s;66.5;-2.424
015;vs;8;s;50.2;1.796
015;vs;8;s;83.5;2.478
015;vs;8;s;133.2;4.214
015;vs;8;s;83.1;3.29
015;vs;8;s;66.5;1.717
015;vs;8;s;50.4;0.57
015;vs;8;s;66.8;3.423
015;vs;8;s;49.4;0.464
015;vs;8;s;83.0;2.143
015;vs;8;s;49.4;2.062
015;vs;8;s;49.4;-4.133
015;vs;8;s;83.5;-0.82
015;vs;8;s;82.7;2.722
015;vs;8;s;49.1;1.195
015;vs;8;s;49.3;0.345
015;vs;8;s;49.4;0.955
015;vs;8;s;50.8;0.712
015;vs;8;s;66.7;0.983
015;vs;8;s;49.9;-0.581
015;vs;8;s;49.7;0.327
015;vs;8;s;66.3;0.667
015;vs;8;s;50.2;-1.321
015;vs;8;s;49.7;0.148
015;vs;8;s;50.5;0.911
015;vs;8;s;82.1;-1.917
015;vs;8;s;66.1;-2.495
015;vs;9;f;166.4;0
015;vs;9;f;115.6;0
015;vs;9;f;316.8;0
015;vs;9;f;83.3;0
015;vs;9;f;83.5;0
015;vs;9;f;149.2;0
015;vs;9;f;166.6;0
015;vs;9;f;266.4;0
015;vs;9;f;100.0;0
015;vs;9;f;182.8;0
015;vs;9;f;333.0;0
015;vs;9;f;166.6;0
015;vs;9;f;133.0;0
015;vs;9;f;116.7;0
