usr;condition;sentence;f/s;duration;amplitude
016;va;1;f;333.6;0
016;va;1;f;99.9;0
016;va;1;f;216.0;0
016;va;1;f;182.2;0
016;va;1;f;150.6;0
016;va;1;f;133.0;0
016;va;1;f;166.5;0
016;va;1;f;266.4;0
016;va;1;f;82.8;0
016;va;1;f;315.9;0
016;va;1;f;100.0;0
016;va;1;f;132.5;0
016;va;1;f;549.7;0
016;va;1;f;182.8;0
016;va;1;f;449.9;0
016;va;1;f;166.7;0
016;va;1;f;215.8;0
016;va;1;f;366.3;0
016;va;1;f;99.9;0
016;va;1;s;66.7;4.349
016;va;1;s;66.9;3.507
016;va;1;s;82.6;9.936
016;va;1;s;66.6;-2.908
016;va;1;s;133.9;8.176
016;va;1;s;66.2;-2.555
016;va;1;s;99.6;13.474
016;va;1;s;49.7;-1.463
016;va;1;s;66.3;-2.142
016;va;1;s;49.4;4.464
016;va;1;s;82.4;6.034
016;va;1;s;50.2;-1.977
016;va;1;s;150.4;-23.031
016;va;1;s;50.6;-2.051
016;va;1;s;133.5;7.782
016;va;1;s;48.0;-0.782
016;va;1;s;100.0;-6.415
016;va;1;s;51.1;1.011
016;va;1;s;50.4;-2.062
016;va;2;f;317.6;0
016;va;2;f;181.9;0
016;va;2;f;99.4;0
016;va;2;f;283.7;0
016;va;2;f;216.8;0
016;va;2;f;99.5;0
016;va;2;f;348.0;0
016;va;2;f;148.6;0
016;va;2;f;84.5;0
016;va;2;f;249.7;0
016;va;2;f;99.6;0
016;va;2;f;233.2;0
016;va;2;f;99.7;0
016;va;2;f;115.2;0
016;va;2;f;100.6;0
016;va;2;s;66.3;-3.947
016;va;2;s;84.2;7.757
016;va;2;s;50.7;-1.381
016;va;2;s;82.8;3.312
016;va;2;s;66.7;-4.506
016;va;2;s;116.6;10.612
016;va;2;s;183.1;6.791
016;va;2;s;67.0;2.294
016;va;2;s;49.4;1.396
016;va;2;s;66.5;-5.047
016;va;2;s;150.3;8.65
016;va;2;s;50.0;3.95
016;va;2;s;66.6;-5.293
016;va;2;s;115.6;6.567
016;va;2;s;82.7;5.503
016;va;2;s;133.5;-24.044
016;va;2;s;232.6;1.102
016;va;2;s;50.2;1.165
016;va;3;f;300.1;0
016;va;3;f;482.2;0
016;va;3;f;149.9;0
016;va;3;f;199.4;0
016;va;3;f;133.2;0
016;va;3;f;448.1;0
016;va;3;f;183.7;0
016;va;3;f;82.1;0
016;va;3;f;264.9;0
016;va;3;f;266.1;0
016;va;3;f;249.2;0
016;va;3;f;149.7;0
016;va;3;f;314.9;0
016;va;3;f;299.4;0
016;va;3;f;267.4;0
016;va;3;f;316.2;0
016;va;3;s;166.3;-21.209
016;va;3;s;83.0;-2.99
016;va;3;s;116.3;9.096
016;va;3;s;100.4;4.636
016;va;3;s;250.3;3.827
016;va;3;s;66.9;0.408
016;va;3;s;49.5;-1.797
016;va;3;s;49.7;1.156
016;va;3;s;151.5;-1.153
016;va;3;s;51.1;-2.541
016;va;3;s;116.8;7.283
016;va;3;s;67.0;4.972
016;va;3;s;49.1;0.921
016;va;3;s;66.4;9.185
016;va;3;s;84.0;-24.548
016;va;3;s;100.1;8.601
016;va;3;s;65.9;-4.899
016;va;3;s;66.7;0.175
016;va;3;s;67.0;3.067
016;va;3;s;82.9;-2.368
016;va;4;f;199.8;0
016;va;4;f;233.1;0
016;va;4;f;182.5;0
016;va;4;f;115.4;0
016;va;4;f;82.5;0
016;va;4;f;299.7;0
016;va;4;f;483.8;0
016;va;4;f;315.7;0
016;va;4;f;249.5;0
016;va;4;f;117.1;0
016;va;4;f;150.1;0
016;va;4;f;283.5;0
016;va;4;f;82.7;0
016;va;4;f;83.2;0
016;va;4;f;366.3;0
016;va;4;f;98.3;0
016;va;4;f;83.7;0
016;va;4;f;231.3;0
016;va;4;f;216.0;0
016;va;4;s;149.4;-13.769
016;va;4;s;116.5;10.324
016;va;4;s;50.7;-1.622
016;va;4;s;66.4;-2.13
016;va;4;s;133.2;6.631
016;va;4;s;118.1;7.971
016;va;4;s;316.9;-6.503
016;va;4;s;66.7;3.968
016;va;4;s;133.2;8.397
016;va;4;s;49.9;5.507
016;va;4;s;48.9;0.579
016;va;4;s;116.2;5.067
016;va;4;s;82.8;-5.601
016;va;4;s;116.0;5.927
016;va;4;s;50.0;-19.537
016;va;4;s;66.5;-5.833
016;va;4;s;133.3;11.524
016;va;4;s;300.7;-3.808
016;va;4;s;133.7;11.011
016;va;4;s;67.2;-6.36
016;va;4;s;66.7;6.246
016;va;4;s;50.3;-1.811
016;va;4;s;235.0;6.742
016;va;4;s;49.1;1.106
016;va;4;s;49.0;1.11
016;va;5;f;183.8;0
016;va;5;f;165.9;0
016;va;5;f;183.7;0
016;va;5;f;116.2;0
016;va;5;f;149.5;0
016;va;5;f;133.2;0
