usr;condition;sentence;f/s;duration;amplitude
012;va;1;f;233.7;0
012;va;1;f;182.2;0
012;va;1;f;150.5;0
012;va;1;f;281.5;0
012;va;1;f;233.2;0
012;va;1;f;217.3;0
012;va;1;f;150.9;0
012;va;1;f;115.2;0
012;va;1;f;98.9;0
012;va;1;f;148.3;0
012;va;1;f;399.9;0
012;va;1;f;348.8;0
012;va;1;s;133.2;-10.133
012;va;1;s;85.0;-3.361
012;va;1;s;66.3;2.115
012;va;1;s;66.9;2.623
012;va;1;s;51.0;-1.18
012;va;1;s;134.2;9.154
012;va;1;s;51.3;-0.324
012;va;1;s;50.7;1.607
012;va;1;s;84.2;4.787
012;va;1;s;51.0;-1.093
012;va;1;s;82.1;4.516
012;va;1;s;81.9;7.016
012;va;1;s;49.7;0.434
012;va;1;s;100.1;3.737
012;va;1;s;100.9;9.744
012;va;1;s;166.1;-27.425
012;va;1;s;84.2;5.428
012;va;2;f;315.2;0
012;va;2;f;99.9;0
012;va;2;f;133.0;0
012;va;2;f;250.9;0
012;va;2;f;282.0;0
012;va;2;f;84.1;0
012;va;2;f;599.3;0
012;va;2;f;233.0;0
012;va;2;f;182.4;0
012;va;2;f;133.6;0
012;va;2;f;281.5;0
012;va;2;f;150.5;0
012;va;2;f;167.2;0
012;va;2;f;150.3;0
012;va;2;f;166.6;0
012;va;2;f;100.1;0
012;va;2;f;133.1;0
012;va;2;f;298.2;0
012;va;2;s;100.4;-19.782
012;va;2;s;51.1;-2.817
012;va;2;s;51.1;2.413
012;va;2;s;50.6;0.75
012;va;2;s;66.7;2.329
012;va;2;s;66.5;-2.707
012;va;2;s;82.0;3.906
012;va;2;s;116.5;8.312
012;va;2;s;133.0;7.001
012;va;2;s;115.4;4.718
012;va;2;s;66.8;4.387
012;va;2;s;49.2;5.194
012;va;2;s;84.9;-27.679
012;va;2;s;49.2;0.319
012;va;2;s;49.4;1.303
012;va;2;s;50.8;1.344
012;va;2;s;133.3;6.997
012;va;2;s;50.8;-2.634
012;va;2;s;50.7;-0.829
012;va;2;s;67.0;5.018
012;va;2;s;300.5;1.659
012;va;3;f;549.0;0
012;va;3;f;248.9;0
012;va;3;f;233.1;0
012;va;3;f;215.9;0
012;va;3;f;83.7;0
012;va;3;f;99.4;0
012;va;3;f;81.8;0
012;va;3;f;200.0;0
012;va;3;f;299.6;0
012;va;3;f;214.9;0
012;va;3;f;317.2;0
012;va;3;f;132.4;0
012;va;3;f;117.3;0
012;va;3;s;50.4;-1.109
012;va;3;s;82.6;5.427
012;va;3;s;83.9;4.901
012;va;3;s;49.2;1.088
012;va;3;s;48.9;1.404
012;va;3;s;82.5;3.998
012;va;3;s;67.8;2.514
012;va;3;s;100.6;6.569
012;va;3;s;66.6;3.609
012;va;3;s;100.2;6.327
012;va;3;s;133.5;8.641
012;va;3;s;66.6;1.969
012;va;3;s;66.7;3.21
012;va;3;s;117.8;-27.96
012;va;3;s;49.2;1.739
012;va;3;s;82.3;-4.952
012;va;5;f;299.8;0
012;va;5;f;116.0;0
012;va;5;f;83.7;0
012;va;5;f;266.2;0
012;va;5;f;317.0;0
012;va;5;f;148.9;0
012;va;5;f;116.9;0
012;va;5;f;466.2;0
012;va;5;f;83.9;0
012;va;5;f;82.8;0
012;va;5;f;448.2;0
012;va;5;f;166.2;0
012;va;5;f;133.1;0
012;va;5;f;131.6;0
012;va;5;f;84.1;0
012;va;5;s;84.3;-18.922
012;va;5;s;99.9;-4.004
012;va;5;s;50.4;2.177
012;va;5;s;66.6;4.153
012;va;5;s;100.2;8.055
012;va;5;s;50.9;1.509
012;va;5;s;65.4;3.83
012;va;5;s;51.1;0.883
012;va;5;s;48.8;4.751
012;va;5;s;48.1;0.12
012;va;5;s;48.8;-0.352
012;va;5;s;66.5;5.181
012;va;5;s;50.5;1.301
012;va;5;s;49.4;-0.446
012;va;5;s;66.4;2.867
012;va;5;s;82.8;4.022
012;va;5;s;67.3;2.161
012;va;5;s;49.1;0.659
012;va;5;s;49.4;1.271
012;va;5;s;133.9;-25.259
012;va;5;s;83.9;3.425
012;va;5;s;334.6;-2.694
012;va;5;s;66.6;4.166
012;va;6;f;366.4;0
012;va;6;f;84.1;0
012;va;6;f;115.6;0
012;va;6;f;100.4;0
012;va;6;f;566.4;0
012;va;6;f;683.3;0
012;va;6;f;133.1;0
012;va;6;f;150.5;0
012;va;6;f;266.5;0
012;va;6;f;199.6;0
012;va;6;f;84.3;0
012;va;6;f;215.8;0
012;va;6;f;317.3;0
012;va;6;f;133.1;0
012;va;6;f;133.0;0
012;va;6;f;99.9;0
012;va;6;f;150.9;0
012;va;6;f;84.0;0
012;va;6;f;316.5;0
012;va;6;s;50.9;-0.804
012;va;6;s;50.5;-6.981
012;va;6;s;100.5;-4.355
012;va;6;s;82.4;-3.921
012;va;6;s;82.4;4.121
012;va;6;s;49.3;0.464
012;va;6;s;49.7;5.282
012;va;6;s;84.2;3.465
012;va;6;s;115.8;5.803
012;va;6;s;50.7;-1.039
012;va;6;s;51.1;1.354
012;va;6;s;115.4;6.951
012;va;6;s;51.0;1.252
012;va;6;s;82.3;4.674
012;va;6;s;51.1;-1.073
012;va;6;s;51.1;2.886
012;va;6;s;66.5;-0.362
012;va;6;s;82.3;4.167
012;va;6;s;48.7;-0.505
012;va;6;s;100.3;4.103
012;va;6;s;50.5;0.917
012;va;6;s;266.7;-26.203
012;va;6;s;82.3;5.848
